"Date","Demographic.Level","Extremely.likely","Not.at.all.likely","Not.very.likely","Somewhat.likely","Very.likely"
"13.8.24","Washington",2,72,19,6,1
"13.8.24","West Virginia",2,76,16,4,1
"13.8.24","Wisconsin",2,76,16,5,1
"13.8.24","Wyoming",2,77,15,4,1
"27.8.24","National",1,69,22,6,2
"27.8.24","Democrat",2,76,17,4,1
"27.8.24","Independent",0,48,34,14,4
"27.8.24","Republican",1,71,21,5,1
"27.8.24","18-24",0,48,34,14,4
"27.8.24","25-34",1,61,27,9,2
"27.8.24","35-44",1,62,26,9,2
"27.8.24","45-54",1,65,24,7,2
"27.8.24","55-64",1,70,21,6,1
"27.8.24","65+",2,77,16,4,1
"27.8.24","Female",1,71,20,6,1
"27.8.24","Gender Expansive",3,80,13,3,1
"27.8.24","Male",1,67,23,7,2
"27.8.24","African American",1,64,25,8,2
"27.8.24","Asian",1,61,27,9,2
"27.8.24","Hispanic",1,68,23,7,2
"27.8.24","White",1,71,20,6,1
"27.8.24","College",1,71,21,6,1
"27.8.24","No College",1,68,22,7,2
"27.8.24","Rural",1,70,21,6,1
"27.8.24","Suburban",1,68,22,7,2
"27.8.24","Urban",1,70,21,6,2
"27.8.24","Alabama",1,69,22,6,1
"27.8.24","Alaska",1,69,22,7,2
"27.8.24","Arizona",1,69,22,7,2
"27.8.24","Arkansas",1,70,21,6,1
"27.8.24","California",1,68,22,7,2
"27.8.24","Colorado",1,69,22,7,2
"27.8.24","Connecticut",1,70,21,6,1
"27.8.24","Delaware",1,71,21,6,1
"27.8.24","District of Columbia",1,70,21,6,1
"27.8.24","Florida",1,69,22,6,2
"27.8.24","Georgia",1,67,23,7,2
"27.8.24","Hawaii",1,70,21,6,1
"27.8.24","Idaho",1,69,21,6,2
"27.8.24","Illinois",1,69,22,6,2
"27.8.24","Indiana",1,69,22,6,2
"27.8.24","Iowa",1,70,21,6,1
"27.8.24","Kansas",1,68,22,7,2
"27.8.24","Kentucky",1,71,20,6,1
"27.8.24","Louisiana",1,68,22,7,2
"27.8.24","Maine",2,73,19,5,1
"27.8.24","Maryland",1,69,22,6,2
"27.8.24","Massachusetts",1,71,20,6,1
"27.8.24","Michigan",1,69,22,6,2
"27.8.24","Minnesota",1,71,20,6,1
"27.8.24","Mississippi",1,72,20,6,1
"27.8.24","Missouri",1,69,22,6,2
"27.8.24","Montana",1,70,21,6,1
"27.8.24","Nebraska",1,70,21,6,1
"27.8.24","Nevada",1,69,22,7,2
"27.8.24","New Hampshire",2,73,19,5,1
"27.8.24","New Jersey",1,69,22,7,2
"27.8.24","New Mexico",1,71,21,6,1
"27.8.24","New York",1,69,22,6,2
"27.8.24","North Carolina",1,69,22,7,2
"27.8.24","North Dakota",1,72,20,6,1
"27.8.24","Ohio",1,70,21,6,1
"27.8.24","Oklahoma",1,71,21,6,1
"27.8.24","Oregon",1,70,21,6,2
"27.8.24","Pennsylvania",1,71,20,6,1
"27.8.24","Rhode Island",1,69,21,6,2
"27.8.24","South Carolina",1,69,22,6,2
"27.8.24","South Dakota",2,73,19,5,1
"27.8.24","Tennessee",1,70,21,6,1
"27.8.24","Texas",1,67,23,7,2
"27.8.24","Utah",1,70,21,6,1
"27.8.24","Vermont",2,74,18,5,1
"27.8.24","Virginia",1,68,22,7,2
"27.8.24","Washington",1,68,22,7,2
"27.8.24","West Virginia",1,71,20,6,1
"27.8.24","Wisconsin",2,73,19,5,1
"27.8.24","Wyoming",2,72,19,5,1
"11.9.24","National",2,71,19,6,2
"11.9.24","Democrat",2,78,15,4,1
"11.9.24","Independent",1,51,32,13,4
"11.9.24","Republican",1,73,18,5,1
"11.9.24","18-24",1,54,29,12,4
"11.9.24","25-34",1,63,25,9,2
"11.9.24","35-44",1,65,24,8,2
"11.9.24","45-54",1,65,24,8,2
"11.9.24","55-64",2,75,17,5,1
"11.9.24","65+",2,78,15,4,1
"11.9.24","Female",2,74,18,5,1
"11.9.24","Gender Expansive",2,77,15,4,1
"11.9.24","Male",1,68,21,7,2
"11.9.24","African American",1,67,22,7,2
"11.9.24","Asian",1,56,28,12,3
"11.9.24","Hispanic",2,74,18,5,1
"11.9.24","White",2,73,19,6,1
"11.9.24","College",2,72,19,6,2
"11.9.24","No College",2,71,20,6,2
"11.9.24","Rural",2,71,19,6,2
"11.9.24","Suburban",2,70,20,6,2
"11.9.24","Urban",2,72,19,6,2
"11.9.24","Alabama",1,71,20,6,2
"11.9.24","Alaska",2,70,20,7,2
"11.9.24","Arizona",2,71,19,6,2
"11.9.24","Arkansas",2,72,19,6,2
"11.9.24","California",2,70,20,7,2
"11.9.24","Colorado",2,71,20,6,2
"11.9.24","Connecticut",2,72,19,6,2
"11.9.24","Delaware",2,72,19,6,2
"11.9.24","District of Columbia",2,73,18,6,2
"11.9.24","Florida",2,72,19,6,2
"11.9.24","Georgia",1,69,21,7,2
"11.9.24","Hawaii",2,70,20,7,2
"11.9.24","Idaho",2,71,19,6,2
"11.9.24","Illinois",2,71,19,6,2
"11.9.24","Indiana",2,71,20,6,2
"11.9.24","Iowa",2,71,19,6,2
"11.9.24","Kansas",1,70,20,7,2
"11.9.24","Kentucky",2,73,19,6,1
"11.9.24","Louisiana",1,70,20,6,2
"11.9.24","Maine",2,74,18,5,1
"11.9.24","Maryland",2,71,20,6,2
"11.9.24","Massachusetts",2,72,19,6,2
"11.9.24","Michigan",2,71,20,6,2
"11.9.24","Minnesota",2,73,19,6,1
"11.9.24","Mississippi",2,73,18,5,1
"11.9.24","Missouri",2,71,20,6,2
"11.9.24","Montana",2,71,19,6,2
"11.9.24","Nebraska",2,72,19,6,2
"11.9.24","Nevada",2,71,19,6,2
"11.9.24","New Hampshire",2,74,17,5,1
"11.9.24","New Jersey",2,71,20,6,2
"11.9.24","New Mexico",2,73,18,5,1
"11.9.24","New York",2,71,19,6,2
"11.9.24","North Carolina",1,70,20,6,2
"11.9.24","North Dakota",2,73,18,5,1
"11.9.24","Ohio",2,72,19,6,2
"11.9.24","Oklahoma",2,73,19,6,1
"11.9.24","Oregon",2,71,19,6,2
"11.9.24","Pennsylvania",2,73,19,6,1
"11.9.24","Rhode Island",2,71,19,6,2
"11.9.24","South Carolina",1,71,20,6,2
"11.9.24","South Dakota",2,74,17,5,1
"11.9.24","Tennessee",2,72,19,6,2
"11.9.24","Texas",1,70,20,7,2
"11.9.24","Utah",2,72,19,6,1
"11.9.24","Vermont",2,75,17,5,1
"11.9.24","Virginia",1,70,20,7,2
"11.9.24","Washington",2,70,20,7,2
"11.9.24","West Virginia",2,73,19,6,1
"11.9.24","Wisconsin",2,74,18,5,1
"11.9.24","Wyoming",2,74,18,5,1
"23.9.24","National",1,72,20,6,2
"23.9.24","Democrat",1,80,15,4,1
"23.9.24","Independent",0,55,30,11,3
"23.9.24","Republican",1,72,20,5,2
"23.9.24","18-24",0,54,31,12,4
"23.9.24","25-34",0,63,26,8,3
"23.9.24","35-44",1,70,21,6,2
"23.9.24","45-54",1,66,24,7,2
"23.9.24","55-64",1,73,19,5,1
"23.9.24","65+",1,79,15,4,1
"23.9.24","Female",1,73,19,5,2
"23.9.24","Gender Expansive",0,61,26,9,3
"23.9.24","Male",1,72,20,6,2
"23.9.24","African American",1,68,22,7,2
"23.9.24","Asian",1,63,26,8,3
"23.9.24","Hispanic",1,70,21,6,2
"23.9.24","White",1,74,19,5,1
"23.9.24","College",1,74,19,5,1
"23.9.24","No College",1,72,20,6,2
"23.9.24","Rural",1,71,21,6,2
"23.9.24","Suburban",1,72,20,6,2
"23.9.24","Urban",1,75,18,5,1
"23.9.24","Alabama",1,71,21,6,2
"23.9.24","Alaska",1,72,20,6,2
"23.9.24","Arizona",1,72,20,6,2
"23.9.24","Arkansas",1,72,20,6,2
"23.9.24","California",1,72,20,6,2
"23.9.24","Colorado",1,72,20,6,2
"23.9.24","Connecticut",1,73,19,5,1
"23.9.24","Delaware",1,74,19,5,1
"23.9.24","District of Columbia",1,76,17,5,1
"23.9.24","Florida",1,73,19,5,2
"23.9.24","Georgia",1,70,21,6,2
"23.9.24","Hawaii",1,73,19,6,2
"23.9.24","Idaho",1,72,20,6,2
"23.9.24","Illinois",1,73,19,5,2
"23.9.24","Indiana",1,72,20,6,2
"23.9.24","Iowa",1,72,20,6,2
"23.9.24","Kansas",1,70,21,6,2
"23.9.24","Kentucky",1,73,19,5,1
"23.9.24","Louisiana",1,71,21,6,2
"23.9.24","Maine",1,75,18,5,1
"23.9.24","Maryland",1,73,19,5,2
"23.9.24","Massachusetts",1,74,18,5,1
"23.9.24","Michigan",1,73,20,6,2
"23.9.24","Minnesota",1,74,19,5,1
"23.9.24","Mississippi",1,73,19,5,1
"23.9.24","Missouri",1,72,20,6,2
"23.9.24","Montana",1,72,20,6,2
"23.9.24","Nebraska",1,73,20,5,2
"23.9.24","Nevada",1,73,20,6,2
"23.9.24","New Hampshire",1,76,17,5,1
"23.9.24","New Jersey",1,72,20,6,2
"23.9.24","New Mexico",1,73,19,5,2
"23.9.24","New York",1,73,19,5,2
"23.9.24","North Carolina",1,71,21,6,2
"23.9.24","North Dakota",1,74,19,5,1
"23.9.24","Ohio",1,73,19,5,2
"23.9.24","Oklahoma",1,73,19,5,2
"23.9.24","Oregon",1,73,19,5,2
"23.9.24","Pennsylvania",1,74,19,5,1
"23.9.24","Rhode Island",1,73,19,5,2
"23.9.24","South Carolina",1,71,20,6,2
"23.9.24","South Dakota",1,75,18,5,1
"23.9.24","Tennessee",1,72,20,6,2
"23.9.24","Texas",1,70,21,6,2
"23.9.24","Utah",1,73,19,5,2
"23.9.24","Vermont",1,76,17,5,1
"23.9.24","Virginia",1,71,20,6,2
"23.9.24","Washington",1,72,20,6,2
"23.9.24","West Virginia",1,73,19,5,2
"23.9.24","Wisconsin",1,75,18,5,1
"23.9.24","Wyoming",1,74,19,5,1
"7.10.24","National",1,72,18,7,2
"7.10.24","Democrat",2,78,15,5,1
"7.10.24","Independent",1,55,28,13,3
"7.10.24","Republican",1,75,17,6,1
"7.10.24","18-24",1,58,26,12,3
"7.10.24","25-34",1,64,23,10,2
"7.10.24","35-44",1,69,20,8,2
"7.10.24","45-54",1,68,21,8,2
"7.10.24","55-64",1,74,17,6,1
"7.10.24","65+",2,79,14,5,1
"7.10.24","Female",1,75,16,6,1
"7.10.24","Gender Expansive",3,84,9,3,1
"7.10.24","Male",1,70,19,8,2
"7.10.24","African American",1,69,20,8,2
"7.10.24","Asian",1,67,21,9,2
"7.10.24","Hispanic",1,74,17,6,1
"7.10.24","White",1,73,17,6,1
"7.10.24","College",1,74,17,6,1
"7.10.24","No College",1,71,19,7,2
"7.10.24","Rural",2,76,16,6,1
"7.10.24","Suburban",1,71,19,7,2
"7.10.24","Urban",1,71,19,7,2
"7.10.24","Alabama",1,74,17,6,1
"7.10.24","Alaska",1,73,17,6,1
"7.10.24","Arizona",1,71,19,7,2
"7.10.24","Arkansas",1,74,17,6,1
"7.10.24","California",1,71,19,7,2
"7.10.24","Colorado",1,72,18,7,2
"7.10.24","Connecticut",1,73,18,6,1
"7.10.24","Delaware",1,74,17,6,1
"7.10.24","District of Columbia",1,72,18,7,2
"7.10.24","Florida",1,72,18,7,2
"7.10.24","Georgia",1,72,19,7,2
"7.10.24","Hawaii",1,74,17,6,1
"7.10.24","Idaho",1,73,18,7,1
"7.10.24","Illinois",1,72,18,7,2
"7.10.24","Indiana",1,72,18,7,2
"7.10.24","Iowa",1,74,17,6,1
"7.10.24","Kansas",1,72,18,7,2
"7.10.24","Kentucky",1,75,17,6,1
"7.10.24","Louisiana",1,72,18,7,2
"7.10.24","Maine",2,77,15,5,1
"7.10.24","Maryland",1,73,18,7,1
"7.10.24","Massachusetts",1,73,17,6,1
"7.10.24","Michigan",1,72,18,7,2
"7.10.24","Minnesota",1,74,17,6,1
"7.10.24","Mississippi",2,76,16,5,1
"7.10.24","Missouri",1,73,18,7,1
"7.10.24","Montana",1,74,17,6,1
"7.10.24","Nebraska",1,73,18,7,1
"7.10.24","Nevada",1,71,19,7,2
"7.10.24","New Hampshire",2,76,15,5,1
"7.10.24","New Jersey",1,71,19,7,2
"7.10.24","New Mexico",2,75,16,6,1
"7.10.24","New York",1,72,18,7,2
"7.10.24","North Carolina",1,73,18,7,1
"7.10.24","North Dakota",1,75,16,6,1
"7.10.24","Ohio",1,73,18,7,1
"7.10.24","Oklahoma",1,74,17,6,1
"7.10.24","Oregon",1,73,18,7,1
"7.10.24","Pennsylvania",1,74,17,6,1
"7.10.24","Rhode Island",1,72,18,7,2
"7.10.24","South Carolina",1,73,18,7,1
"7.10.24","South Dakota",2,77,15,5,1
"7.10.24","Tennessee",1,74,17,6,1
"7.10.24","Texas",1,71,19,7,2
"7.10.24","Utah",1,72,18,7,1
"7.10.24","Vermont",2,78,14,5,1
"7.10.24","Virginia",1,72,18,7,2
"7.10.24","Washington",1,71,19,7,2
"7.10.24","West Virginia",2,75,16,6,1
"7.10.24","Wisconsin",2,76,16,6,1
"7.10.24","Wyoming",2,76,16,5,1
"22.10.24","National",2,78,15,4,2
"22.10.24","Democrat",2,81,13,3,1
"22.10.24","Independent",1,65,23,8,3
"22.10.24","Republican",2,80,13,4,1
"22.10.24","18-24",1,63,24,8,4
"22.10.24","25-34",1,65,23,8,3
"22.10.24","35-44",1,73,18,6,2
"22.10.24","45-54",1,74,17,5,2
"22.10.24","55-64",2,82,12,3,1
"22.10.24","65+",2,84,10,3,1
"22.10.24","Female",2,80,13,4,1
"22.10.24","Gender Expansive",2,82,11,3,1
"22.10.24","Male",1,76,16,5,2
"22.10.24","African American",1,72,19,6,2
"22.10.24","Asian",1,68,21,7,3
"22.10.24","Hispanic",2,80,13,4,1
"22.10.24","White",2,79,14,4,2
"22.10.24","College",2,79,14,4,2
"22.10.24","No College",2,77,15,4,2
"22.10.24","Rural",2,78,15,4,2
"22.10.24","Suburban",2,77,15,4,2
"22.10.24","Urban",2,78,15,4,2
"22.10.24","Alabama",2,77,15,4,2
"22.10.24","Alaska",2,78,15,4,2
"22.10.24","Arizona",2,78,15,4,2
"22.10.24","Arkansas",2,78,14,4,2
"22.10.24","California",2,77,15,4,2
"22.10.24","Colorado",2,77,15,4,2
"22.10.24","Connecticut",2,78,14,4,2
"22.10.24","Delaware",2,78,14,4,2
"22.10.24","District of Columbia",2,78,15,4,2
"22.10.24","Florida",2,78,14,4,2
"22.10.24","Georgia",1,76,16,5,2
"22.10.24","Hawaii",2,78,14,4,2
"22.10.24","Idaho",2,78,14,4,2
"22.10.24","Illinois",2,77,15,4,2
"22.10.24","Indiana",2,77,15,4,2
"22.10.24","Iowa",2,78,15,4,2
"22.10.24","Kansas",2,77,15,5,2
"22.10.24","Kentucky",2,79,14,4,2
"22.10.24","Louisiana",2,77,16,5,2
"22.10.24","Maine",2,80,13,4,1
"22.10.24","Maryland",2,77,15,4,2
"22.10.24","Massachusetts",2,78,14,4,2
"22.10.24","Michigan",2,77,15,4,2
"22.10.24","Minnesota",2,79,14,4,2
"22.10.24","Mississippi",2,79,14,4,1
"22.10.24","Missouri",2,78,15,4,2
"22.10.24","Montana",2,78,14,4,2
"22.10.24","Nebraska",2,78,14,4,2
"22.10.24","Nevada",2,78,15,4,2
"22.10.24","New Hampshire",2,81,13,3,1
"22.10.24","New Jersey",2,77,15,4,2
"22.10.24","New Mexico",2,79,14,4,1
"22.10.24","New York",2,77,15,4,2
"22.10.24","North Carolina",2,77,15,5,2
"22.10.24","North Dakota",2,80,13,4,1
"22.10.24","Ohio",2,78,14,4,2
"22.10.24","Oklahoma",2,79,14,4,2
"22.10.24","Oregon",2,78,15,4,2
"22.10.24","Pennsylvania",2,79,14,4,2
"22.10.24","Rhode Island",2,78,15,4,2
"22.10.24","South Carolina",2,77,15,4,2
"22.10.24","South Dakota",2,80,13,4,1
"22.10.24","Tennessee",2,78,15,4,2
"22.10.24","Texas",2,77,15,5,2
"22.10.24","Utah",2,79,14,4,1
"22.10.24","Vermont",2,80,13,4,1
"22.10.24","Virginia",2,77,16,5,2
"22.10.24","Washington",2,77,15,5,2
"22.10.24","West Virginia",2,79,14,4,2
"22.10.24","Wisconsin",2,80,13,3,1
"22.10.24","Wyoming",2,81,13,3,1
