Date,Demographic Factors ,Demographic Level,Much more concerned,Somewhat more concerned,No change,Somewhat less concerned,Much less concerned
4.6.25,Age,45-54,35.2,28.5,30.7,4.4,1.2
4.6.25,Age,55-64,34.9,28.8,30.7,4.4,1.2
4.6.25,Age,65+,36.3,27.5,30.7,4.3,1.2
4.6.25,Sex,Female,36,27.8,30.6,4.3,1.2
4.6.25,Sex,Gender Expansive,73.1,4.7,12.5,1,8.7
4.6.25,Sex,Male,33,30.7,30.8,4.5,1.1
4.6.25,Ethnicity,African American,38.5,25.4,30.6,4.1,1.3
4.6.25,Ethnicity,Asian,23.2,42,29,5.1,0.6
4.6.25,Ethnicity,Hispanic,37.6,26.3,30.6,4.2,1.3
4.6.25,Ethnicity,White,34.2,29.4,30.8,4.5,1.1
4.6.25,Education,College,32.2,31.5,30.7,4.6,1
4.6.25,Education,No College,35.7,28,30.7,4.3,1.2
4.6.25,Urbanicity,Rural,34.5,29.1,30.8,4.4,1.1
4.6.25,Urbanicity,Suburban,35.1,28.7,30.6,4.4,1.2
4.6.25,Urbanicity,Urban,33.8,30,30.6,4.5,1.1
