"Date","Demographic.Level","Donald.Trump","Kamala.Harris","Not.sure","Other.Candidate"
"11.9.24","Iowa",42,43,9,6
"11.9.24","Kansas",47,36,10,6
"11.9.24","Kentucky",43,45,8,5
"11.9.24","Louisiana",41,45,9,5
"11.9.24","Maine",37,49,8,6
"11.9.24","Maryland",33,56,7,4
"11.9.24","Massachusetts",31,57,7,5
"11.9.24","Michigan",36,49,9,6
"11.9.24","Minnesota",41,46,8,5
"11.9.24","Mississippi",45,42,9,5
"11.9.24","Missouri",43,43,9,5
"11.9.24","Montana",49,35,9,6
"11.9.24","Nebraska",47,39,8,5
"11.9.24","Nevada",40,47,8,5
"11.9.24","New Hampshire",37,48,8,6
"11.9.24","New Jersey",34,52,9,5
"11.9.24","New Mexico",38,50,8,5
"11.9.24","New York",32,54,8,5
"11.9.24","North Carolina",41,45,9,5
"11.9.24","North Dakota",49,37,9,5
"11.9.24","Ohio",44,42,8,5
"11.9.24","Oklahoma",45,42,8,5
"11.9.24","Oregon",36,49,9,6
"11.9.24","Pennsylvania",40,48,8,5
"11.9.24","Rhode Island",34,52,8,6
"11.9.24","South Carolina",43,43,9,5
"11.9.24","South Dakota",50,39,7,4
"11.9.24","Tennessee",47,39,8,5
"11.9.24","Texas",41,43,10,5
"11.9.24","Utah",53,34,8,5
"11.9.24","Vermont",31,56,7,6
"11.9.24","Virginia",43,42,9,5
"11.9.24","Washington",37,48,10,6
"11.9.24","West Virginia",42,43,8,6
"11.9.24","Wisconsin",43,44,8,5
"11.9.24","Wyoming",55,31,9,5
