"Date","Demographic.Factors","Demographic.Level","Strongly.positive.impact","Somewhat.positive.impact","No.impact","Somewhat.negative.impact","Very.negative.impact"
"17.12.24","Education","No College",1.6,4.8,77.5,11.4,4.7
"17.12.24","Urbanicity","Rural",1.8,5.4,74.9,12.5,5.3
"17.12.24","Urbanicity","Suburban",1.5,4.4,79.2,10.6,4.3
"17.12.24","Urbanicity","Urban",1.5,4.6,78.5,10.9,4.5
"2.4.25","National","National",5.1,9.1,67.4,14,4.4
"2.4.25","Politics","Democrat",5,9.1,67.5,14,4.4
"2.4.25","Politics","Independent",3.5,6.7,75.5,11.3,3
"2.4.25","Politics","Republican",5.9,10.3,63.3,15.3,5.2
"2.4.25","Age","18-24",5.8,10.3,63.5,15.2,5.2
"2.4.25","Age","25-34",4.5,8.3,70.1,13.2,3.9
"2.4.25","Age","35-44",5.2,9.3,66.7,14.2,4.6
"2.4.25","Age","45-54",4.7,8.6,69.1,13.5,4.1
"2.4.25","Age","55-64",6.5,11.1,60.7,15.9,5.8
"2.4.25","Age","65+",4.7,8.6,69.1,13.5,4.1
"2.4.25","Sex","Female",4.8,8.7,69,13.5,4.1
"2.4.25","Sex","Gender Expansive",5.3,9.5,66.2,14.4,4.6
"2.4.25","Sex","Male",5.4,9.6,65.7,14.5,4.8
"2.4.25","Ethnicity","African American",4.7,8.6,69.3,13.4,4
"2.4.25","Ethnicity","Asian",4.2,7.8,72,12.5,3.6
"2.4.25","Ethnicity","Hispanic",5.6,10,64.5,14.8,5
"2.4.25","Ethnicity","White",5.1,9.2,67.3,14,4.5
"2.4.25","Education","College",6.1,10.6,62.4,15.5,5.4
"2.4.25","Education","No College",4.6,8.4,69.9,13.2,3.9
"2.4.25","Urbanicity","Rural",4.5,8.3,70.1,13.2,3.9
"2.4.25","Urbanicity","Suburban",4.5,8.3,70.2,13.1,3.9
"2.4.25","Urbanicity","Urban",6.4,11,60.9,15.9,5.7
"23.4.25","National","National",4.6,10.8,64.8,15.3,4.6
"23.4.25","Politics","Democrat",4.8,11.2,63.3,15.9,4.8
"23.4.25","Politics","Independent",2.5,6.5,77.9,10.7,2.4
"23.4.25","Politics","Republican",5.3,12.3,60.3,16.7,5.4
"23.4.25","Age","18-24",4.1,9.8,67.7,14.4,4
"23.4.25","Age","25-34",4.8,11.2,63.5,15.7,4.8
"23.4.25","Age","35-44",4.8,11.1,63.8,15.6,4.8
"23.4.25","Age","45-54",4,9.7,68.1,14.3,4
"23.4.25","Age","55-64",5.1,11.7,62,16.1,5.1
"23.4.25","Age","65+",4.4,10.5,65.6,15.1,4.4
"23.4.25","Sex","Female",4.6,10.8,64.8,15.3,4.6
"23.4.25","Sex","Gender Expansive",7.7,15.9,49.4,18.6,8.4
"23.4.25","Sex","Male",4.6,10.7,64.9,15.3,4.6
"23.4.25","Ethnicity","African American",5,11.6,62.2,16.1,5
"23.4.25","Ethnicity","Asian",4.2,10.1,66.8,14.7,4.2
"23.4.25","Ethnicity","Hispanic",5.2,11.9,61.5,16.2,5.2
"23.4.25","Ethnicity","White",4.5,10.5,65.5,15.1,4.4
"23.4.25","Education","College",5.3,12.1,60.9,16.4,5.3
"23.4.25","Education","No College",4.2,10.1,66.8,14.7,4.2
"23.4.25","Urbanicity","Rural",3.5,8.7,70.9,13.4,3.4
"23.4.25","Urbanicity","Suburban",4.4,10.5,65.6,15.1,4.4
"23.4.25","Urbanicity","Urban",5.8,13.1,57.7,17.3,6
"4.6.25","National","National",8.9,4.3,68.4,13.9,4.4
"4.6.25","Politics","Democrat",9.8,4.8,65.4,15,5
"4.6.25","Politics","Independent",5.4,2.4,80.3,9.6,2.4
"4.6.25","Politics","Republican",9.6,4.7,66.1,14.8,4.8
"4.6.25","Age","18-24",8.6,4.1,69.4,13.6,4.2
"4.6.25","Age","25-34",9.6,4.7,66.2,14.6,4.9
"4.6.25","Age","35-44",9.4,4.6,66.9,14.4,4.8
"4.6.25","Age","45-54",9,4.4,68.1,14,4.5
"4.6.25","Age","55-64",8.8,4.3,68.6,13.9,4.4
"4.6.25","Age","65+",8.5,4.1,69.8,13.5,4.2
"4.6.25","Sex","Female",9.1,4.5,67.7,14.1,4.6
"4.6.25","Sex","Gender Expansive",17,10.6,40.4,18.7,13.2
"4.6.25","Sex","Male",8.7,4.2,69.1,13.7,4.3
"4.6.25","Ethnicity","African American",9.6,4.7,65.9,14.8,4.9
"4.6.25","Ethnicity","Asian",8.1,3.9,70.9,13.1,3.9
"4.6.25","Ethnicity","Hispanic",10.6,5.3,62.9,15.6,5.6
"4.6.25","Ethnicity","White",8.6,4.2,69.4,13.6,4.2
"4.6.25","Education","College",10.5,5.3,63.1,15.6,5.5
"4.6.25","Education","No College",8.1,3.9,71.1,13,3.9
"4.6.25","Urbanicity","Rural",7,3.2,74.8,11.8,3.2
"4.6.25","Urbanicity","Suburban",9,4.4,68.1,14.1,4.5
"4.6.25","Urbanicity","Urban",10.7,5.4,62.5,15.8,5.7
"1.7.25","National","National",4.1,6.2,66.7,15.4,7.6
"1.7.25","Politics","Democrat",5,7.3,61,17.3,9.5
"1.7.25","Politics","Independent",2.5,4,78,11.1,4.3
"1.7.25","Politics","Republican",3.9,5.9,67.8,15.2,7.1
"1.7.25","Age","18-24",3.9,5.9,68.1,14.9,7.2
"1.7.25","Age","25-34",4.2,6.2,66.3,15.5,7.8
"1.7.25","Age","35-44",4.4,6.5,65.1,15.9,8.2
"1.7.25","Age","45-54",3.8,5.8,68.6,14.7,7
"1.7.25","Age","55-64",4.8,7,62.6,16.7,9
"1.7.25","Age","65+",3.8,5.8,68.6,14.8,7
"1.7.25","Sex","Female",4.4,6.5,65,15.9,8.2
"1.7.25","Sex","Gender Expansive",6.5,8.9,52,19.2,13.4
"1.7.25","Sex","Male",3.8,5.8,68.6,14.7,7
"1.7.25","Ethnicity","African American",4,6,67.6,15.2,7.2
"1.7.25","Ethnicity","Asian",4.1,6.2,66.7,15.4,7.6
"1.7.25","Ethnicity","Hispanic",6.1,8.6,54.2,18.8,12.3
"1.7.25","Ethnicity","White",3.9,5.8,68.4,14.9,7.1
"1.7.25","Education","College",5,7.2,61.1,17.2,9.4
"1.7.25","Education","No College",3.7,5.6,69.6,14.4,6.7
"1.7.25","Urbanicity","Rural",3.4,5.2,71.4,13.9,6.1
"1.7.25","Urbanicity","Suburban",3.8,5.8,68.6,14.8,7
"1.7.25","Urbanicity","Urban",5.2,7.5,59.6,17.6,10.1
"5.8.25","National","National",4.2,6.1,67.5,14.3,7.9
"5.8.25","Politics","Democrat",5.4,7.7,59.5,16.8,10.7
"5.8.25","Politics","Independent",2.5,4,78.7,10.4,4.5
"5.8.25","Politics","Republican",3.5,5.4,71.3,13.3,6.5
"5.8.25","Age","18-24",3.9,5.8,69.3,13.6,7.4
"5.8.25","Age","25-34",3.7,5.5,70.7,13.2,6.9
"5.8.25","Age","35-44",4.1,6.1,67.8,14.2,7.9
"5.8.25","Age","45-54",4.3,6.3,66.9,14.4,8.2
"5.8.25","Age","55-64",4.1,6.1,67.7,14.2,7.8
"5.8.25","Age","65+",4.3,6.4,66.3,14.7,8.3
"5.8.25","Sex","Female",4.3,6.4,66.4,14.6,8.3
"5.8.25","Sex","Gender Expansive",6.3,8.7,54.1,17.7,13.2
"5.8.25","Sex","Male",4,5.9,68.8,13.9,7.5
"5.8.25","Ethnicity","African American",4.9,7.1,62.6,16,9.4
"5.8.25","Ethnicity","Asian",4.9,7.1,62.6,15.9,9.4
"5.8.25","Ethnicity","Hispanic",7.1,9.5,49.8,18.5,15.1
"5.8.25","Ethnicity","White",3.6,5.5,71,13.3,6.6
"5.8.25","Education","College",4.7,6.8,63.9,15.5,9.1
"5.8.25","Education","No College",3.9,5.8,69.4,13.6,7.3
"5.8.25","Urbanicity","Rural",3.2,4.9,73.9,12.3,5.7
"5.8.25","Urbanicity","Suburban",3.9,5.9,68.9,14,7.3
"5.8.25","Urbanicity","Urban",5.5,7.7,59.3,16.6,10.9
"5.9.25","National","National",3.9,7.1,65.9,15.7,7.5
"5.9.25","Politics","Democrat",4.5,8.1,61.5,17.1,8.9
"5.9.25","Politics","Independent",2.9,5.6,72.8,13.2,5.4
"5.9.25","Politics","Republican",3.6,6.7,67.5,15.3,6.9
"5.9.25","Age","18-24",3.9,7.2,65.6,15.7,7.6
"5.9.25","Age","25-34",3.4,6.3,69.4,14.4,6.4
"5.9.25","Age","35-44",3.9,7.2,65.5,15.8,7.6
"5.9.25","Age","45-54",3.5,6.5,68.8,14.7,6.6
"5.9.25","Age","55-64",4.2,7.7,63.2,16.5,8.3
"5.9.25","Age","65+",4,7.4,64.7,16.1,7.8
"5.9.25","Sex","Female",3.6,6.7,67.6,15.1,6.9
"5.9.25","Sex","Gender Expansive",6,10.1,52,19.3,12.6
"5.9.25","Sex","Male",4.1,7.5,63.9,16.3,8.1
"5.9.25","Ethnicity","African American",4.1,7.5,64.3,16.4,7.8
"5.9.25","Ethnicity","Asian",4.5,8.1,61.4,17.2,8.8
"5.9.25","Ethnicity","Hispanic",6.2,10.5,50.2,19.7,13.3
"5.9.25","Ethnicity","White",3.5,6.5,68.5,14.9,6.5
"5.9.25","Education","College",4.1,7.5,64.1,16.3,8
"5.9.25","Education","No College",3.7,6.9,66.8,15.3,7.2
"5.9.25","Urbanicity","Rural",3,5.8,71.9,13.7,5.6
"5.9.25","Urbanicity","Suburban",3.6,6.8,67.3,15.3,6.9
"5.9.25","Urbanicity","Urban",5,8.9,58,18.1,10.1
"1.10.25","National","National",3.6,5.8,69.8,14,6.9
"1.10.25","Politics","Democrat",4.3,6.8,64.6,15.8,8.5
"1.10.25","Politics","Independent",2.3,3.9,78.9,10.6,4.3
"1.10.25","Politics","Republican",3.3,5.4,71.3,13.6,6.3
"1.10.25","Age","18-24",3.5,5.6,70.4,13.8,6.7
"1.10.25","Age","25-34",3.7,5.9,69.2,14.2,7.1
"1.10.25","Age","35-44",3.2,5.2,72.5,13,6.1
"1.10.25","Age","45-54",3.7,5.9,69.2,14.2,7.1
"1.10.25","Age","55-64",3.8,6.1,68.1,14.6,7.4
"1.10.25","Age","65+",3.6,5.8,69.7,14.1,6.9
"1.10.25","Sex","Female",3.4,5.5,70.8,13.6,6.6
"1.10.25","Sex","Gender Expansive",6.6,9.6,50.1,19,14.7
"1.10.25","Sex","Male",3.7,6,68.6,14.4,7.3
"1.10.25","Ethnicity","African American",3.1,5.1,73.1,12.9,5.8
"1.10.25","Ethnicity","Asian",4.7,7.2,62.3,16.4,9.4
"1.10.25","Ethnicity","Hispanic",4.7,7.3,62.1,16.5,9.4
"1.10.25","Ethnicity","White",3.4,5.6,70.8,13.7,6.6
"1.10.25","Education","College",4.1,6.5,66.1,15.3,8
"1.10.25","Education","No College",3.3,5.4,71.6,13.4,6.3
"1.10.25","Urbanicity","Rural",3,5,73.7,12.7,5.7
"1.10.25","Urbanicity","Suburban",3.4,5.6,70.7,13.8,6.6
"1.10.25","Urbanicity","Urban",4.3,6.8,64.7,15.7,8.5
"3.11.25","National","National",3,4.8,71.8,14.5,5.9
"3.11.25","Politics","Democrat",3.8,5.9,65.8,17,7.6
"3.11.25","Politics","Independent",2.7,4.4,73.9,13.7,5.2
"3.11.25","Politics","Republican",2.3,3.7,77.7,12,4.3
"3.11.25","Age","18-24",3.9,6,65.1,17.2,7.8
"3.11.25","Age","25-34",3.7,5.7,66.8,16.6,7.3
"3.11.25","Age","35-44",3.3,5.2,69.7,15.5,6.4
"3.11.25","Age","45-54",3.1,4.9,71.3,14.8,6
"3.11.25","Age","55-64",3.7,5.7,66.7,16.6,7.3
"3.11.25","Age","65+",2.3,3.8,77.3,12.2,4.4
"3.11.25","Sex","Female",3,4.7,72.2,14.4,5.8
"3.11.25","Sex","Gender Expansive",5.9,8.5,51.5,21,13
"3.11.25","Sex","Male",3.1,4.8,71.5,14.6,6
"3.11.25","Ethnicity","African American",4.1,6.4,63.2,18,8.3
"3.11.25","Ethnicity","Asian",4.3,6.7,61.7,18.5,8.8
"3.11.25","Ethnicity","Hispanic",4.6,6.9,60.3,18.9,9.3
"3.11.25","Ethnicity","White",2.6,4.1,75.3,13.2,4.9
"3.11.25","Education","College",3.3,5.1,69.9,15.4,6.4
"3.11.25","Education","No College",2.9,4.6,72.9,14,5.6
"3.11.25","Urbanicity","Rural",1.9,3.2,80.6,10.7,3.6
"3.11.25","Urbanicity","Suburban",3,4.7,72,14.6,5.7
"3.11.25","Urbanicity","Urban",4.2,6.4,63.1,18,8.4
"1.12.25","National","National",3.5,5.5,70,15,5.9
"1.12.25","Politics","Democrat",4.1,6.3,66.1,16.5,7
"1.12.25","Politics","Independent",2.7,4.3,76.2,12.5,4.4
"1.12.25","Politics","Republican",3.3,5.2,71.4,14.5,5.5
"1.12.25","Age","18-24",3.4,5.4,70.8,14.7,5.7
"1.12.25","Age","25-34",3.7,5.8,68.5,15.6,6.4
"1.12.25","Age","35-44",3.7,5.7,68.8,15.5,6.3
"1.12.25","Age","45-54",3.5,5.5,69.8,15.1,6
"1.12.25","Age","55-64",3.7,5.7,68.9,15.4,6.2
"1.12.25","Age","65+",3.3,5.2,71.5,14.4,5.5
"1.12.25","Sex","Female",3.2,5.1,72.3,14.1,5.3
"1.12.25","Sex","Gender Expansive",4.8,7.2,61.7,18,8.4
"1.12.25","Sex","Male",3.9,6,67.6,16,6.6
"1.12.25","Ethnicity","African American",3.4,5.4,70.4,14.9,5.8
"1.12.25","Ethnicity","Asian",3.7,5.8,68.4,15.6,6.4
"1.12.25","Ethnicity","Hispanic",4.6,7,62.6,17.7,8.1
"1.12.25","Ethnicity","White",3.4,5.3,71.1,14.6,5.6
"1.12.25","Education","College",3.9,6,67.3,16.1,6.7
"1.12.25","Education","No College",3.3,5.2,71.4,14.5,5.6
"1.12.25","Urbanicity","Rural",3,4.8,73.4,13.7,5
"1.12.25","Urbanicity","Suburban",3.1,5,72.6,14.1,5.2
"1.12.25","Urbanicity","Urban",4.5,6.8,63.3,17.5,7.8
"6.1.26","National","National",3.8,5.7,70.8,14.1,5.7
"6.1.26","Politics","Democrat",4.4,6.5,66.8,15.6,6.7
"6.1.26","Politics","Independent",2.6,4.1,78.3,11.1,3.8
"6.1.26","Politics","Republican",3.6,5.5,71.7,13.9,5.4
"6.1.26","Age","18-24",3.7,5.6,71.1,14,5.6
"6.1.26","Age","25-34",4.3,6.4,67.2,15.5,6.6
"6.1.26","Age","35-44",4,6,69,14.8,6.1
"6.1.26","Age","45-54",3.2,4.9,74.6,12.7,4.7
"6.1.26","Age","55-64",4.2,6.3,67.7,15.3,6.5
"6.1.26","Age","65+",3.5,5.3,72.7,13.5,5.2
"6.1.26","Sex","Female",3.6,5.5,71.6,13.8,5.5
"6.1.26","Sex","Gender Expansive",10,12.1,37.7,20.6,19.6
"6.1.26","Sex","Male",3.9,5.9,69.9,14.5,5.9
"6.1.26","Ethnicity","African American",3.7,5.6,70.9,14.2,5.6
"6.1.26","Ethnicity","Asian",4.6,6.8,65.2,16.2,7.2
"6.1.26","Ethnicity","Hispanic",5.3,7.7,61.2,17.4,8.5
"6.1.26","Ethnicity","White",3.5,5.3,72.4,13.6,5.2
"6.1.26","Education","College",4,5.9,69.5,14.7,6
"6.1.26","Education","No College",3.7,5.5,71.4,13.9,5.5
"6.1.26","Urbanicity","Rural",3.1,4.8,75,12.5,4.6
"6.1.26","Urbanicity","Suburban",3.6,5.4,71.9,13.8,5.3
"6.1.26","Urbanicity","Urban",4.7,6.8,65.1,16.2,7.2
"2.2.26","National","National",4.5,4.7,57.7,18.4,14.8
"2.2.26","Politics","Democrat",6.1,6.1,44.7,21.6,21.6
"2.2.26","Politics","Independent",3.5,3.8,65.2,16.8,10.5
"2.2.26","Politics","Republican",3.1,3.4,68.9,15.5,9.1
"2.2.26","Age","18-24",4.4,4.6,58.5,18.2,14.3
"2.2.26","Age","25-34",5,5.1,53.4,19.4,17.1
"2.2.26","Age","35-44",4.4,4.6,58.6,18.2,14.3
"2.2.26","Age","45-54",4,4.2,61.5,17.4,12.9
"2.2.26","Age","55-64",4.3,4.5,59.4,18,13.9
"2.2.26","Age","65+",4.6,4.8,56.7,18.7,15.3
"2.2.26","Sex","Female",4.7,4.9,55.5,18.9,15.9
"2.2.26","Sex","Gender Expansive",5.8,5.8,46.6,20.6,21.2
"2.2.26","Sex","Male",4.2,4.4,60.1,17.8,13.6
"2.2.26","Ethnicity","African American",4.9,5.1,54.2,19.6,16.2
"2.2.26","Ethnicity","Asian",5,5.2,53.2,19.6,17.1
"2.2.26","Ethnicity","Hispanic",6.1,6,44.6,20.8,22.6
"2.2.26","Ethnicity","White",4.2,4.4,60.3,17.8,13.4
"2.2.26","Education","College",4.8,4.9,55.2,19,16.1
"2.2.26","Education","No College",4.3,4.5,59,18,14.1
"2.2.26","Urbanicity","Rural",3.7,3.9,64.4,16.7,11.3
"2.2.26","Urbanicity","Suburban",4.3,4.5,58.8,18.3,14.1
"2.2.26","Urbanicity","Urban",5.4,5.5,49.7,20.2,19.1
