"Date","Demographic.Level","Not.at.all","Somewhat","Moderately","Very.much.so","Completely"
"18.3.24","50-64 Black",3,22,46,29,0
"18.3.24","50-64 Mixed",0,49,8,0,43
"18.3.24","50-64 Other",6,64,29,0,0
"18.3.24","50-64 White",7,39,39,13,3
"18.3.24","65+ Asian",0,33,67,0,0
"18.3.24","65+ Black",0,100,0,0,0
"18.3.24","65+ Mixed",32,57,11,0,0
"18.3.24","65+ Other",0,2,98,0,0
"18.3.24","65+ White",13,41,36,9,1
"18.3.24","18-24 Brexit Party",0,0,83,6,11
"18.3.24","18-24 Conservatives",4,12,39,33,12
"18.3.24","18-24 Greens",0,32,3,65,0
"18.3.24","18-24 Labour",1,34,45,19,1
"18.3.24","18-24 Liberal Democrats",0,25,40,35,0
"18.3.24","18-24 Other",0,21,45,34,0
"18.3.24","18-24 SNP",0,41,54,0,5
"18.3.24","25-49 Brexit Party",0,6,52,22,19
"18.3.24","25-49 Conservatives",5,27,37,23,8
"18.3.24","25-49 Greens",4,29,51,14,2
"18.3.24","25-49 Labour",8,29,39,20,4
"18.3.24","25-49 Liberal Democrats",5,29,50,13,3
"18.3.24","25-49 Other",0,31,38,18,13
"18.3.24","25-49 SNP",3,31,41,16,9
"18.3.24","50-64 Brexit Party",0,57,43,0,1
"18.3.24","50-64 Conservatives",10,38,34,14,4
"18.3.24","50-64 Greens",5,30,54,5,5
"18.3.24","50-64 Labour",6,40,38,15,0
"18.3.24","50-64 Liberal Democrats",3,31,52,12,2
"18.3.24","50-64 Other",14,48,16,22,0
"18.3.24","50-64 SNP",17,39,37,0,7
"18.3.24","65+ Brexit Party",0,45,55,0,0
"18.3.24","65+ Conservatives",13,44,34,8,1
"18.3.24","65+ Greens",10,45,45,0,0
"18.3.24","65+ Labour",12,42,39,6,1
"18.3.24","65+ Liberal Democrats",12,36,43,9,0
"18.3.24","65+ Other",0,69,31,0,0
"18.3.24","65+ SNP",0,61,33,6,0
"18.3.24","Asian Brexit Party",0,31,22,11,37
"18.3.24","Asian Conservatives",12,36,32,20,0
"18.3.24","Asian Greens",0,0,79,21,0
"18.3.24","Asian Labour",6,33,48,12,2
"18.3.24","Asian Liberal Democrats",0,27,56,17,0
"18.3.24","Asian Other",0,100,0,0,0
"18.3.24","Asian SNP",24,33,0,0,43
"18.3.24","Black Brexit Party",0,57,29,0,14
"18.3.24","Black Conservatives",0,57,9,30,3
"18.3.24","Black Greens",0,100,0,0,0
"18.3.24","Black Labour",7,38,42,13,0
"18.3.24","Black Liberal Democrats",0,35,65,0,0
"18.3.24","Black Other",5,57,7,3,27
"18.3.24","Black SNP",1,26,73,0,0
"18.3.24","Mixed Brexit Party",0,36,36,8,20
"18.3.24","Mixed Conservatives",37,38,0,0,25
"18.3.24","Mixed Greens",0,26,11,57,5
"18.3.24","Mixed Labour",0,41,36,16,7
"18.3.24","Mixed Liberal Democrats",0,100,0,0,0
"18.3.24","Mixed Other",0,86,0,0,14
"18.3.24","Mixed SNP",0,80,0,0,20
"18.3.24","Other Brexit Party",0,17,83,0,0
"18.3.24","Other Conservatives",0,6,94,0,0
"18.3.24","Other Greens",0,0,100,0,0
"18.3.24","Other Labour",2,25,52,21,0
"18.3.24","Other Liberal Democrats",0,54,46,0,0
"18.3.24","Other Ethnicity Other Party",0,100,0,0,0
"18.3.24","Other SNP",6,0,94,0,0
"18.3.24","White Brexit Party",0,36,55,7,3
"18.3.24","White Conservatives",9,36,36,15,4
"18.3.24","White Greens",6,33,41,17,3
"18.3.24","White Labour",7,34,39,18,3
"18.3.24","White Liberal Democrats",7,27,48,16,2
"18.3.24","White Other",4,37,38,18,3
"18.3.24","White SNP",3,41,43,11,2
"19.2.24","National",6,34,41,15,3
"19.2.24","Female",8,40,41,9,1
"19.2.24","Male",4,27,42,21,5
"19.2.24","18-24",3,24,45,22,6
"19.2.24","25-49",7,28,41,20,5
"19.2.24","50-64",7,42,35,12,3
"19.2.24","65+",6,39,45,9,0
"19.2.24","Asian",9,31,37,14,10
"19.2.24","Black",0,35,42,11,12
"19.2.24","Mixed",3,20,71,2,3
"19.2.24","Other Ethnicity",0,25,66,2,8
"19.2.24","White",7,35,39,17,2
"19.2.24","Brexit Party",2,25,51,14,8
"19.2.24","Conservatives",5,35,41,15,3
"19.2.24","Greens",8,17,58,13,4
"19.2.24","Labour",7,37,38,17,2
"19.2.24","Liberal Democrats",9,27,48,14,3
"19.2.24","Other Party",5,33,41,11,10
"19.2.24","SNP",7,36,34,16,7
"19.2.24","Female 18-24",4,33,47,14,1
"19.2.24","Female 25-49",9,35,40,13,2
"19.2.24","Female 50-64",9,51,32,8,0
"19.2.24","Female 65+",9,42,46,4,0
"19.2.24","Male 18-24",3,15,43,29,10
"19.2.24","Male 25-49",4,20,41,28,7
"19.2.24","Male 50-64",6,34,38,17,6
"19.2.24","Male 65+",4,37,45,14,0
"19.2.24","Female Asian",12,31,44,11,2
"19.2.24","Female Black",1,39,46,10,5
"19.2.24","Female Mixed",3,25,69,2,1
"19.2.24","Female Other",0,44,51,3,2
"19.2.24","Female White",9,42,38,10,1
"19.2.24","Male Asian",6,31,31,16,17
"19.2.24","Male Black",0,32,38,12,17
"19.2.24","Male Mixed",4,15,73,3,5
"19.2.24","Male Other",0,14,75,1,11
"19.2.24","Male White",5,28,40,25,3
"19.2.24","Female Brexit Party",0,37,42,18,3
"19.2.24","Female Conservatives",7,41,41,9,1
"19.2.24","Female Greens",12,22,57,9,0
"19.2.24","Female Labour",9,42,39,9,0
"19.2.24","Female Liberal Democrats",12,34,43,9,1
"19.2.24","Female Other",13,43,38,5,1
"19.2.24","Female SNP",12,45,27,12,3
"19.2.24","Male Brexit Party",4,18,56,12,10
"19.2.24","Male Conservatives",4,29,41,21,5
"19.2.24","Male Greens",3,12,59,17,9
"19.2.24","Male Labour",5,30,35,25,4
"19.2.24","Male Liberal Democrats",6,21,52,18,4
"19.2.24","Male Other",0,28,42,14,16
"19.2.24","Male SNP",2,27,41,19,11
"19.2.24","18-24 Asian",5,14,48,24,8
"19.2.24","18-24 Black",0,33,43,24,0
"19.2.24","18-24 Mixed",0,6,78,10,6
"19.2.24","18-24 Other",0,39,37,0,24
"19.2.24","18-24 White",4,26,43,23,5
"19.2.24","25-49 Asian",12,27,32,18,11
"19.2.24","25-49 Black",1,12,39,20,28
"19.2.24","25-49 Mixed",12,38,39,3,9
"19.2.24","25-49 Other",0,11,72,6,10
"19.2.24","25-49 White",6,29,41,22,2
"19.2.24","50-64 Asian",8,48,32,0,13
"19.2.24","50-64 Black",1,31,42,9,18
"19.2.24","50-64 Mixed",0,95,5,0,0
"19.2.24","50-64 Other",0,59,29,0,11
"19.2.24","50-64 White",8,41,35,14,2
"19.2.24","65+ Asian",0,44,56,0,0
"19.2.24","65+ Black",0,57,43,0,0
"19.2.24","65+ Mixed",0,3,97,0,0
"19.2.24","65+ Other",0,22,76,0,1
"19.2.24","65+ White",8,42,38,12,0
"19.2.24","18-24 Brexit Party",0,0,97,0,3
"19.2.24","18-24 Conservatives",0,11,34,39,17
"19.2.24","18-24 Greens",0,0,80,20,0
"19.2.24","18-24 Labour",6,37,33,21,3
"19.2.24","18-24 Liberal Democrats",0,0,100,0,0
"19.2.24","18-24 Other",0,0,89,0,11
"19.2.24","18-24 SNP",0,27,59,14,0
"19.2.24","25-49 Brexit Party",9,0,23,42,26
"19.2.24","25-49 Conservatives",5,25,41,24,5
"19.2.24","25-49 Greens",2,18,58,12,10
"19.2.24","25-49 Labour",7,32,40,18,3
"19.2.24","25-49 Liberal Democrats",11,24,42,19,4
"19.2.24","25-49 Other",14,16,45,14,12
"19.2.24","25-49 SNP",5,34,35,13,13
"19.2.24","50-64 Brexit Party",0,33,58,8,1
"19.2.24","50-64 Conservatives",8,44,31,13,4
"19.2.24","50-64 Greens",8,32,49,12,0
"19.2.24","50-64 Labour",7,44,36,12,1
"19.2.24","50-64 Liberal Democrats",5,37,39,14,5
"19.2.24","50-64 Other",1,30,40,13,16
"19.2.24","50-64 SNP",15,48,22,9,7
"19.2.24","65+ Brexit Party",0,40,60,0,0
"19.2.24","65+ Conservatives",5,39,48,8,0
"19.2.24","65+ Greens",29,8,52,11,0
"19.2.24","65+ Labour",9,46,36,10,0
"19.2.24","65+ Liberal Democrats",11,34,46,9,0
"19.2.24","65+ Other",0,64,24,8,5
"19.2.24","65+ SNP",8,33,25,34,0
"19.2.24","Asian Brexit Party",0,27,28,0,45
"19.2.24","Asian Conservatives",0,39,32,17,12
"19.2.24","Asian Greens",0,0,87,0,13
"19.2.24","Asian Labour",14,27,42,18,0
"19.2.24","Asian Liberal Democrats",26,15,47,0,13
"19.2.24","Asian Other",17,1,17,0,64
"19.2.24","Asian SNP",0,72,0,0,28
"19.2.24","Black Brexit Party",0,0,86,0,14
"19.2.24","Black Conservatives",0,35,37,10,19
"19.2.24","Black Greens",0,0,100,0,0
"19.2.24","Black Labour",0,37,41,17,5
"19.2.24","Black Liberal Democrats",0,30,59,11,0
"19.2.24","Black Other",15,20,34,0,31
"19.2.24","Black SNP",0,79,0,0,21
"19.2.24","Mixed Brexit Party",0,12,73,0,15
"19.2.24","Mixed Conservatives",0,17,83,0,0
"19.2.24","Mixed Greens",0,0,100,0,0
"19.2.24","Mixed Labour",0,22,61,7,10
"19.2.24","Mixed Liberal Democrats",29,12,59,0,0
"19.2.24","Mixed Other",0,0,100,0,0
"19.2.24","Mixed SNP",0,100,0,0,0
"19.2.24","Other Brexit Party",0,16,57,0,27
"19.2.24","Other Conservatives",0,5,95,0,0
"19.2.24","Other Greens",0,0,100,0,0
"19.2.24","Other Labour",0,60,22,6,12
"19.2.24","Other Liberal Democrats",0,16,78,0,6
"19.2.24","Other Ethnicity Other Party",7,17,6,0,71
"19.2.24","Other SNP",0,58,0,0,42
"19.2.24","White Brexit Party",3,27,49,18,3
"19.2.24","White Conservatives",7,37,37,17,2
"19.2.24","White Greens",10,22,49,16,4
"19.2.24","White Labour",7,38,37,17,1
"19.2.24","White Liberal Democrats",7,29,45,16,2
"19.2.24","White Other",3,40,42,14,2
"19.2.24","White SNP",8,25,43,20,3
"22.1.24","National",7,33,38,18,4
"22.1.24","Female",9,37,40,13,1
"22.1.24","Male",5,28,36,24,7
"22.1.24","18-24",8,24,31,30,7
"22.1.24","25-49",6,25,40,24,5
"22.1.24","50-64",8,34,41,14,3
"22.1.24","65+",8,44,34,10,3
"22.1.24","Asian",7,24,52,11,6
"22.1.24","Black",1,27,12,36,24
"22.1.24","Mixed",5,7,62,19,7
"22.1.24","Other Ethnicity",11,49,12,26,3
"22.1.24","White",7,34,38,17,3
"22.1.24","Brexit Party",6,34,50,9,1
"22.1.24","Conservatives",6,34,37,17,5
"22.1.24","Greens",17,28,33,13,9
"22.1.24","Labour",7,30,39,22,2
"22.1.24","Liberal Democrats",6,39,35,17,3
"22.1.24","Other Party",10,32,40,11,6
"22.1.24","SNP",17,22,34,17,9
"22.1.24","Female 18-24",9,31,34,25,2
"22.1.24","Female 25-49",8,31,42,16,2
"22.1.24","Female 50-64",10,38,40,11,2
"22.1.24","Female 65+",9,46,39,6,0
"22.1.24","Male 18-24",7,17,29,34,12
"22.1.24","Male 25-49",2,20,38,32,8
"22.1.24","Male 50-64",5,30,41,18,4
"22.1.24","Male 65+",7,43,30,13,7
"22.1.24","Female Asian",7,27,55,8,2
"22.1.24","Female Black",1,35,11,48,5
"22.1.24","Female Mixed",10,5,69,16,0
"22.1.24","Female Other",15,42,14,29,0
"22.1.24","Female White",9,39,39,11,1
"22.1.24","Male Asian",6,21,48,14,10
"22.1.24","Male Black",0,22,14,27,38
"22.1.24","Male Mixed",0,9,55,22,15
"22.1.24","Male Other",9,53,10,24,5
"22.1.24","Male White",5,29,37,25,4
"22.1.24","Female Brexit Party",7,39,44,6,4
"22.1.24","Female Conservatives",8,37,41,11,2
"22.1.24","Female Greens",22,32,30,11,5
"22.1.24","Female Labour",8,35,40,16,1
"22.1.24","Female Liberal Democrats",8,42,38,11,1
"22.1.24","Female Other",15,39,33,11,1
"22.1.24","Female SNP",18,27,38,17,0
"22.1.24","Male Brexit Party",6,31,53,11,0
"22.1.24","Male Conservatives",3,31,34,23,9
"22.1.24","Male Greens",11,23,37,16,13
"22.1.24","Male Labour",5,23,38,29,5
"22.1.24","Male Liberal Democrats",5,35,32,23,5
"22.1.24","Male Other",7,29,45,12,9
"22.1.24","Male SNP",16,17,31,18,17
"22.1.24","18-24 Asian",3,30,58,4,4
"22.1.24","18-24 Black",0,0,0,70,30
"22.1.24","18-24 Mixed",2,0,2,96,0
"22.1.24","18-24 Other",0,13,5,79,3
"22.1.24","18-24 White",10,27,33,24,6
"22.1.24","25-49 Asian",5,17,52,17,9
"22.1.24","25-49 Black",0,11,25,58,6
"22.1.24","25-49 Mixed",7,13,43,14,24
"22.1.24","25-49 Other",11,19,0,61,9
"22.1.24","25-49 White",6,28,41,22,4
"22.1.24","50-64 Asian",12,38,41,8,1
"22.1.24","50-64 Black",2,14,25,48,11
"22.1.24","50-64 Mixed",6,0,75,19,0
"22.1.24","50-64 Other",0,0,100,0,0
"22.1.24","50-64 White",8,36,40,14,3
"22.1.24","65+ Asian",10,29,61,0,0
"22.1.24","65+ Black",1,57,0,0,43
"22.1.24","65+ Mixed",5,6,86,0,2
"22.1.24","65+ Other",16,84,0,0,0
"22.1.24","65+ White",8,44,35,13,0
"22.1.24","18-24 Brexit Party",4,58,27,12,0
"22.1.24","18-24 Conservatives",0,21,25,36,18
"22.1.24","18-24 Greens",57,3,13,27,0
"22.1.24","18-24 Labour",2,27,38,29,4
"22.1.24","18-24 Liberal Democrats",1,33,28,38,0
"22.1.24","18-24 Other",2,0,94,0,4
"22.1.24","18-24 SNP",78,0,0,9,13
"22.1.24","25-49 Brexit Party",12,20,33,30,5
"22.1.24","25-49 Conservatives",5,24,40,25,6
"22.1.24","25-49 Greens",6,25,41,13,14
"22.1.24","25-49 Labour",7,25,40,25,3
"22.1.24","25-49 Liberal Democrats",2,30,46,15,7
"22.1.24","25-49 Other",4,28,32,24,12
"22.1.24","25-49 SNP",4,26,31,31,8
"22.1.24","50-64 Brexit Party",8,20,72,0,0
"22.1.24","50-64 Conservatives",8,34,39,15,4
"22.1.24","50-64 Greens",7,38,41,13,0
"22.1.24","50-64 Labour",7,34,39,18,2
"22.1.24","50-64 Liberal Democrats",6,41,39,13,2
"22.1.24","50-64 Other",13,18,55,14,0
"22.1.24","50-64 SNP",10,30,48,6,6
"22.1.24","65+ Brexit Party",0,54,46,0,0
"22.1.24","65+ Conservatives",6,43,36,11,4
"22.1.24","65+ Greens",22,44,16,0,17
"22.1.24","65+ Labour",12,43,39,6,0
"22.1.24","65+ Liberal Democrats",16,53,15,16,0
"22.1.24","65+ Other",15,57,22,0,5
"22.1.24","65+ SNP",10,24,57,0,10
"22.1.24","Asian Brexit Party",0,0,100,0,0
"22.1.24","Asian Conservatives",13,19,51,10,6
"22.1.24","Asian Greens",0,38,42,0,20
"22.1.24","Asian Labour",3,24,54,18,1
"22.1.24","Asian Liberal Democrats",0,41,59,0,0
"22.1.24","Asian Other",0,0,98,0,2
"22.1.24","Asian SNP",8,30,0,16,47
"22.1.24","Black Brexit Party",0,49,23,28,0
"22.1.24","Black Conservatives",0,26,11,22,41
"22.1.24","Black Greens",0,8,0,80,11
"22.1.24","Black Labour",0,31,22,42,5
"22.1.24","Black Liberal Democrats",0,35,0,65,0
"22.1.24","Black Other",34,0,0,0,66
"22.1.24","Black SNP",0,5,0,57,38
"22.1.24","Mixed Brexit Party",0,0,75,25,0
"22.1.24","Mixed Conservatives",2,2,81,6,9
"22.1.24","Mixed Greens",0,0,22,66,12
"22.1.24","Mixed Labour",0,0,62,35,3
"22.1.24","Mixed Liberal Democrats",38,47,3,12,0
"22.1.24","Mixed Other",6,0,81,0,14
"22.1.24","Mixed SNP",0,14,0,50,37
"22.1.24","Other Brexit Party",0,66,21,13,0
"22.1.24","Other Conservatives",0,67,11,21,0
"22.1.24","Other Greens",0,56,24,0,20
"22.1.24","Other Labour",39,0,10,51,0
"22.1.24","Other Liberal Democrats",0,80,11,0,9
"22.1.24","Other Ethnicity Other Party",0,63,21,0,16
"22.1.24","Other SNP",0,55,10,7,29
"22.1.24","White Brexit Party",8,36,48,8,2
"22.1.24","White Conservatives",6,36,37,18,3
"22.1.24","White Greens",21,28,35,9,7
"22.1.24","White Labour",7,33,39,19,3
"22.1.24","White Liberal Democrats",6,36,37,17,4
"22.1.24","White Other",10,38,37,14,2
"22.1.24","White SNP",21,21,43,14,1
"4.3.24","National",8,38,38,14,2
"4.3.24","Female",11,41,38,8,1
"4.3.24","Male",5,34,38,20,2
"4.3.24","18-24",2,25,41,26,6
"4.3.24","25-49",7,34,40,17,2
"4.3.24","50-64",7,42,34,14,2
"4.3.24","65+",11,43,39,6,0
"4.3.24","Asian",8,40,39,11,2
"4.3.24","Black",7,26,49,15,3
"4.3.24","Mixed",5,54,25,9,8
"4.3.24","Other Ethnicity",0,61,28,11,0
"4.3.24","White",8,37,39,15,2
"4.3.24","Brexit Party",3,34,44,16,3
"4.3.24","Conservatives",10,39,37,14,1
"4.3.24","Greens",7,28,49,14,2
"4.3.24","Labour",7,37,38,15,3
"4.3.24","Liberal Democrats",5,37,42,15,1
"4.3.24","Other Party",7,39,40,9,5
"4.3.24","SNP",11,43,34,11,1
"4.3.24","Female 18-24",3,33,43,16,5
"4.3.24","Female 25-49",11,39,39,11,1
"4.3.24","Female 50-64",9,49,32,7,3
"4.3.24","Female 65+",14,41,42,4,0
"4.3.24","Male 18-24",1,18,39,35,6
"4.3.24","Male 25-49",4,29,40,23,3
"4.3.24","Male 50-64",5,36,36,21,2
"4.3.24","Male 65+",8,46,36,9,0
"4.3.24","Female Asian",11,39,40,9,1
"4.3.24","Female Black",9,28,51,9,2
"4.3.24","Female Mixed",5,53,27,0,15
"4.3.24","Female Other",0,52,37,12,0
"4.3.24","Female White",11,41,38,9,1
"4.3.24","Male Asian",5,42,38,13,2
"4.3.24","Male Black",5,24,47,20,4
"4.3.24","Male Mixed",5,54,23,18,0
"4.3.24","Male Other",0,67,23,10,0
"4.3.24","Male White",5,32,39,21,2
"4.3.24","Female Brexit Party",9,58,28,4,0
"4.3.24","Female Conservatives",13,40,37,9,1
"4.3.24","Female Greens",13,32,43,12,0
"4.3.24","Female Labour",10,41,40,8,2
"4.3.24","Female Liberal Democrats",7,42,40,10,1
"4.3.24","Female Other",14,44,35,7,0
"4.3.24","Female SNP",4,52,39,5,0
"4.3.24","Male Brexit Party",0,21,52,22,4
"4.3.24","Male Conservatives",6,37,36,19,1
"4.3.24","Male Greens",0,24,56,16,4
"4.3.24","Male Labour",4,33,37,23,4
"4.3.24","Male Liberal Democrats",3,33,44,20,1
"4.3.24","Male Other",3,36,43,10,7
"4.3.24","Male SNP",17,34,30,17,2
"4.3.24","18-24 Asian",0,23,57,16,5
"4.3.24","18-24 Black",18,29,25,28,0
"4.3.24","18-24 Mixed",0,19,30,23,28
"4.3.24","18-24 Other",0,50,21,29,0
"4.3.24","18-24 White",1,25,41,28,5
"4.3.24","25-49 Asian",10,37,38,14,1
"4.3.24","25-49 Black",8,27,32,24,9
"4.3.24","25-49 Mixed",11,33,35,21,0
"4.3.24","25-49 Other",0,27,58,15,0
"4.3.24","25-49 White",7,34,40,17,2
"4.3.24","50-64 Asian",14,48,28,6,4
"4.3.24","50-64 Black",10,23,42,25,0
"4.3.24","50-64 Mixed",22,28,6,1,42
"4.3.24","50-64 Other",0,68,3,28,0
"4.3.24","50-64 White",6,42,35,14,2
"4.3.24","65+ Asian",0,64,36,0,0
"4.3.24","65+ Black",0,25,75,0,0
"4.3.24","65+ Mixed",0,78,22,0,0
"4.3.24","65+ Other",0,82,18,0,0
"4.3.24","65+ White",15,38,39,8,0
"4.3.24","18-24 Brexit Party",0,0,72,28,0
"4.3.24","18-24 Conservatives",0,18,30,46,7
"4.3.24","18-24 Greens",0,0,63,37,0
"4.3.24","18-24 Labour",3,31,39,20,7
"4.3.24","18-24 Liberal Democrats",0,6,82,12,0
"4.3.24","18-24 Other",8,40,46,6,0
"4.3.24","18-24 SNP",0,57,4,40,0
"4.3.24","25-49 Brexit Party",0,14,38,38,10
"4.3.24","25-49 Conservatives",9,32,39,19,1
"4.3.24","25-49 Greens",6,22,60,9,2
"4.3.24","25-49 Labour",7,35,40,14,3
"4.3.24","25-49 Liberal Democrats",1,39,38,21,0
"4.3.24","25-49 Other",4,31,44,11,9
"4.3.24","25-49 SNP",14,42,33,9,2
"4.3.24","50-64 Brexit Party",9,38,48,4,0
"4.3.24","50-64 Conservatives",8,46,30,14,2
"4.3.24","50-64 Greens",9,41,35,12,4
"4.3.24","50-64 Labour",5,39,36,17,3
"4.3.24","50-64 Liberal Democrats",5,43,35,13,4
"4.3.24","50-64 Other",10,23,41,18,8
"4.3.24","50-64 SNP",11,28,57,4,0
"4.3.24","65+ Brexit Party",0,50,41,8,0
"4.3.24","65+ Conservatives",12,41,40,7,0
"4.3.24","65+ Greens",11,51,30,8,0
"4.3.24","65+ Labour",12,48,34,6,0
"4.3.24","65+ Liberal Democrats",12,41,40,7,0
"4.3.24","65+ Other",8,60,32,0,0
"4.3.24","65+ SNP",12,49,39,0,0
"4.3.24","Asian Brexit Party",11,25,1,63,0
"4.3.24","Asian Conservatives",6,46,29,15,3
"4.3.24","Asian Greens",11,0,89,0,0
"4.3.24","Asian Labour",6,33,50,9,2
"4.3.24","Asian Liberal Democrats",0,59,41,0,0
"4.3.24","Asian Other",0,0,54,46,0
"4.3.24","Asian SNP",56,44,0,0,0
"4.3.24","Black Brexit Party",8,48,0,43,0
"4.3.24","Black Conservatives",5,0,77,18,0
"4.3.24","Black Greens",1,0,99,0,0
"4.3.24","Black Labour",10,32,32,16,9
"4.3.24","Black Liberal Democrats",0,100,0,0,0
"4.3.24","Black Other",0,0,43,57,0
"4.3.24","Black SNP",26,74,0,0,0
"4.3.24","Mixed Brexit Party",0,72,4,20,4
"4.3.24","Mixed Conservatives",8,74,0,13,4
"4.3.24","Mixed Greens",0,5,90,0,5
"4.3.24","Mixed Labour",0,41,37,5,17
"4.3.24","Mixed Liberal Democrats",0,4,96,0,0
"4.3.24","Mixed Other",0,0,77,21,2
"4.3.24","Mixed SNP",20,80,0,0,0
"4.3.24","Other Brexit Party",0,15,81,5,0
"4.3.24","Other Conservatives",0,76,10,14,0
"4.3.24","Other Greens",0,15,85,0,0
"4.3.24","Other Labour",0,70,19,11,0
"4.3.24","Other Liberal Democrats",0,11,89,0,0
"4.3.24","Other Ethnicity Other Party",0,88,0,12,0
"4.3.24","Other SNP",0,0,100,0,0
"4.3.24","White Brexit Party",2,33,51,11,4
"4.3.24","White Conservatives",11,37,38,14,1
"4.3.24","White Greens",7,34,39,17,2
"4.3.24","White Labour",7,36,38,16,2
"4.3.24","White Liberal Democrats",6,34,40,19,1
"4.3.24","White Other",9,45,38,2,6
"4.3.24","White SNP",5,41,39,14,1
"5.2.24","National",5,34,38,17,5
"5.2.24","Female",7,40,38,13,2
"5.2.24","Male",4,28,39,21,8
"5.2.24","18-24",1,27,47,19,6
"5.2.24","25-49",4,29,43,19,5
"5.2.24","50-64",7,38,37,14,4
"5.2.24","65+",7,41,29,16,6
"5.2.24","Asian",1,28,49,18,4
"5.2.24","Black",0,8,43,10,38
"5.2.24","Mixed",3,25,8,62,1
"5.2.24","Other Ethnicity",2,57,6,1,34
"5.2.24","White",6,36,40,16,2
"5.2.24","Brexit Party",8,35,38,14,5
"5.2.24","Conservatives",6,34,36,17,7
"5.2.24","Greens",5,32,46,11,6
"5.2.24","Labour",5,33,39,20,3
"5.2.24","Liberal Democrats",4,39,43,12,2
"5.2.24","Other Party",3,35,37,20,4
"5.2.24","SNP",9,33,39,10,9
"5.2.24","Female 18-24",0,30,57,13,0
"5.2.24","Female 25-49",5,35,43,15,3
"5.2.24","Female 50-64",10,44,33,10,3
"5.2.24","Female 65+",9,49,28,14,0
"5.2.24","Male 18-24",2,24,37,26,11
"5.2.24","Male 25-49",3,22,44,24,7
"5.2.24","Male 50-64",5,33,40,17,4
"5.2.24","Male 65+",5,33,31,18,13
"5.2.24","Female Asian",1,26,53,19,1
"5.2.24","Female Black",0,12,58,11,19
"5.2.24","Female Mixed",0,25,10,65,0
"5.2.24","Female Other",4,75,4,2,14
"5.2.24","Female White",8,43,37,11,1
"5.2.24","Male Asian",2,30,45,17,7
"5.2.24","Male Black",0,5,32,10,53
"5.2.24","Male Mixed",6,26,7,59,2
"5.2.24","Male Other",0,47,7,1,45
"5.2.24","Male White",5,29,42,21,3
"5.2.24","Female Brexit Party",6,61,30,0,3
"5.2.24","Female Conservatives",8,40,35,15,2
"5.2.24","Female Greens",0,39,46,10,5
"5.2.24","Female Labour",6,39,39,15,1
