"Date","Demographic.Factors","Demographic.Level","Strongly.Approve","Somewhat.Approve","Somewhat.Disapprove","Strongly.Disapprove"
"2.4.25","Politics","Democrat",15.2,4.1,3.9,76.8
"2.4.25","Politics","Independent",29.5,25.7,15.4,29.3
"2.4.25","Politics","Republican",27.4,33.8,17,21.8
"2.4.25","Age","18-24",22.3,23.9,11.5,42.3
"2.4.25","Age","25-34",21.9,21.6,10.9,45.5
"2.4.25","Age","35-44",21.6,18.1,10.3,50
"2.4.25","Age","45-54",22.6,22.9,11.9,42.6
"2.4.25","Age","55-64",23.1,18.6,11.2,47.2
"2.4.25","Age","65+",22.7,18,10.9,48.3
"2.4.25","Sex","Female",21.6,18.8,10.4,49.2
"2.4.25","Sex","Gender Expansive",6.5,1.7,1.6,90.2
"2.4.25","Sex","Male",23.4,20.2,11.7,44.8
"2.4.25","Ethnicity","African American",21.5,16.1,8.8,53.6
"2.4.25","Ethnicity","Asian",21.1,16.1,9.6,53.2
"2.4.25","Ethnicity","Hispanic",19.5,12.9,8.2,59.4
"2.4.25","Ethnicity","White",23.1,21,11.8,44.1
"2.4.25","Education","College",21.9,19.6,10.9,47.5
"2.4.25","Education","No College",22.7,19.3,11.1,46.9
"2.4.25","Urbanicity","Rural",24.5,21.4,12.5,41.6
"2.4.25","Urbanicity","Suburban",22.4,20.6,11.3,45.6
"2.4.25","Urbanicity","Urban",20.6,15.9,9.1,54.4
"23.4.25","National","National",19.8,18.3,12.5,49.4
"23.4.25","Politics","Democrat",14.4,4.9,5.5,75.3
"23.4.25","Politics","Independent",25.2,17.7,14.7,42.3
"23.4.25","Politics","Republican",23.3,33.9,19.5,23.3
"23.4.25","Age","18-24",20.3,23.3,13.6,42.8
"23.4.25","Age","25-34",20,22.3,13.2,44.4
"23.4.25","Age","35-44",19.7,19.9,12.7,47.7
"23.4.25","Age","45-54",19.8,18.7,12.7,48.8
"23.4.25","Age","55-64",19.9,17.4,12.6,50.1
"23.4.25","Age","65+",19.6,16.3,12.1,52
"23.4.25","Sex","Female",19.2,17.4,11.8,51.5
"23.4.25","Sex","Gender Expansive",5.4,1.6,1.9,91.1
"23.4.25","Sex","Male",20.4,19.4,13.2,47
"23.4.25","Ethnicity","African American",19.6,15.8,10.8,53.8
"23.4.25","Ethnicity","Asian",18.2,13.2,10.2,58.4
"23.4.25","Ethnicity","Hispanic",17.4,12,9.4,61.2
"23.4.25","Ethnicity","White",20.2,19.9,13.3,46.6
"23.4.25","Education","College",19.5,19.6,12.8,48.1
"23.4.25","Education","No College",19.9,17.7,12.4,50
"23.4.25","Urbanicity","Rural",21,21.3,14.3,43.4
"23.4.25","Urbanicity","Suburban",19.6,18.3,12.5,49.6
"23.4.25","Urbanicity","Urban",18.8,15.5,10.8,54.9
"4.6.25","National","National",18.3,20.8,11.5,49.4
"4.6.25","Politics","Democrat",13.5,5.5,5.2,75.9
"4.6.25","Politics","Independent",23.7,19.9,13.7,42.8
"4.6.25","Politics","Republican",21.3,38.5,17.5,22.7
"4.6.25","Age","18-24",18.8,27.6,12.5,41
"4.6.25","Age","25-34",18.3,22.9,11.5,47.2
"4.6.25","Age","35-44",18.2,21.5,11.3,48.9
"4.6.25","Age","45-54",18.5,23.2,12.1,46.2
"4.6.25","Age","55-64",18.7,21.9,12.1,47.3
"4.6.25","Age","65+",18.1,18,10.9,53
"4.6.25","Sex","Female",17.7,18.6,10.6,53
"4.6.25","Sex","Gender Expansive",7.6,3.2,2.9,86.3
"4.6.25","Sex","Male",19,23.1,12.4,45.5
"4.6.25","Ethnicity","African American",18.6,18.2,10.2,53
"4.6.25","Ethnicity","Asian",16.9,15.1,9.5,58.6
"4.6.25","Ethnicity","Hispanic",16,13,8.5,62.5
"4.6.25","Ethnicity","White",18.7,22.5,12.2,46.6
"4.6.25","Education","College",18,22.2,11.6,48.2
"4.6.25","Education","No College",18.5,20.1,11.4,50.1
"4.6.25","Urbanicity","Rural",19.4,23.2,12.9,44.5
"4.6.25","Urbanicity","Suburban",18.2,21.6,11.6,48.6
"4.6.25","Urbanicity","Urban",17.4,17.3,9.9,55.4
"1.7.25","National","National",17,17.6,11.8,53.5
"1.7.25","Politics","Democrat",7.9,2,2.6,87.6
"1.7.25","Politics","Independent",26,18.4,15.8,39.7
"1.7.25","Politics","Republican",23.2,35,20.4,21.4
"1.7.25","Age","18-24",16.2,20.2,11.7,52
"1.7.25","Age","25-34",15.8,20.4,11.4,52.4
"1.7.25","Age","35-44",16,18.2,11.3,54.6
"1.7.25","Age","45-54",17.1,19.3,12.4,51.2
"1.7.25","Age","55-64",17.9,17.7,12.5,51.9
"1.7.25","Age","65+",17.6,15.6,11.7,55.1
"1.7.25","Sex","Female",15.9,15.7,10.6,57.7
"1.7.25","Sex","Gender Expansive",0,0,0,100
"1.7.25","Sex","Male",18.3,19.7,13.1,48.9
"1.7.25","Ethnicity","African American",13.5,11.5,7.7,67.3
"1.7.25","Ethnicity","Asian",15.6,12,9.4,63
"1.7.25","Ethnicity","Hispanic",13.2,8.2,7.2,71.4
"1.7.25","Ethnicity","White",18.2,20.1,13.2,48.5
"1.7.25","Education","College",16.6,18.8,12.1,52.5
"1.7.25","Education","No College",17.3,17,11.7,54
"1.7.25","Urbanicity","Rural",19.7,21.4,14.4,44.5
"1.7.25","Urbanicity","Suburban",17.2,18.8,12.3,51.7
"1.7.25","Urbanicity","Urban",14.2,12.3,8.7,64.9
"5.8.25","National","National",15.7,19.7,11.9,52.7
"5.8.25","Politics","Democrat",8.8,2.6,3.3,85.2
"5.8.25","Politics","Independent",23.4,15.6,14.2,46.7
"5.8.25","Politics","Republican",19.8,40.9,20.5,18.8
"5.8.25","Age","18-24",15.4,18.3,11,55.3
"5.8.25","Age","25-34",15.3,20.4,11.2,53.2
"5.8.25","Age","35-44",15.1,20.1,11.2,53.6
"5.8.25","Age","45-54",15.7,20.7,12.2,51.4
"5.8.25","Age","55-64",16.1,21.5,12.9,49.5
"5.8.25","Age","65+",15.9,18.1,11.9,54
"5.8.25","Sex","Female",14.9,18.7,11,55.4
"5.8.25","Sex","Gender Expansive",9.8,5.7,5.2,79.3
"5.8.25","Sex","Male",16.6,20.7,12.9,49.8
"5.8.25","Ethnicity","African American",12.5,11.4,7.5,68.6
"5.8.25","Ethnicity","Asian",15.1,18.5,10.9,55.5
"5.8.25","Ethnicity","Hispanic",15.4,18.8,10.5,55.3
"5.8.25","Ethnicity","White",16.2,21,12.8,50
"5.8.25","Education","College",15.1,19.2,11.7,54
"5.8.25","Education","No College",16,19.9,12,52.1
"5.8.25","Urbanicity","Rural",17.5,24,14.4,44.1
"5.8.25","Urbanicity","Suburban",15.8,20.8,12.2,51.2
"5.8.25","Urbanicity","Urban",13.8,13.9,9,63.3
"5.9.25","National","National",15.4,19.4,11.6,53.6
"5.9.25","Politics","Democrat",7.3,2.1,2.6,88
"5.9.25","Politics","Independent",24.3,17.6,15.1,43
"5.9.25","Politics","Republican",20.5,39.8,20.2,19.5
"5.9.25","Age","18-24",14.9,21,11.2,52.9
"5.9.25","Age","25-34",14.6,22.3,11,52.1
"5.9.25","Age","35-44",14.4,17.4,10.5,57.8
"5.9.25","Age","45-54",15.3,23.5,12.4,48.8
"5.9.25","Age","55-64",16.1,20.3,12.6,51
"5.9.25","Age","65+",16,17.1,11.6,55.3
"5.9.25","Sex","Female",14.4,17.1,10.4,58
"5.9.25","Sex","Gender Expansive",6.8,2.9,3.1,87.1
"5.9.25","Sex","Male",16.5,21.8,13,48.7
"5.9.25","Ethnicity","African American",11.3,10.1,6.8,71.8
"5.9.25","Ethnicity","Asian",14.5,15.4,10,60.1
"5.9.25","Ethnicity","Hispanic",13.4,13,8.7,64.9
"5.9.25","Ethnicity","White",16.3,21.8,12.8,49
"5.9.25","Education","College",15,19.4,11.6,54
"5.9.25","Education","No College",15.6,19.4,11.7,53.3
"5.9.25","Urbanicity","Rural",17.6,24.7,14.4,43.4
"5.9.25","Urbanicity","Suburban",15.6,19.9,11.9,52.5
"5.9.25","Urbanicity","Urban",13,13.4,8.6,65
"1.10.25","National","National",16.5,18.1,10.6,54.8
"1.10.25","Politics","Democrat",6.9,1.8,2,89.3
"1.10.25","Politics","Independent",25.9,15.8,13.2,45.1
"1.10.25","Politics","Republican",23,37.7,19,20.3
"1.10.25","Age","18-24",15.8,19.2,10.1,54.9
"1.10.25","Age","25-34",15.4,20,10,54.6
"1.10.25","Age","35-44",15.4,18.1,9.9,56.7
"1.10.25","Age","45-54",16.6,19.6,11,52.8
"1.10.25","Age","55-64",17.4,19.8,11.6,51.2
"1.10.25","Age","65+",17.1,16,10.5,56.3
"1.10.25","Sex","Female",15.3,16,9.4,59.2
"1.10.25","Sex","Gender Expansive",10.8,6.3,5,77.9
"1.10.25","Sex","Male",17.9,20.3,11.8,50
"1.10.25","Ethnicity","African American",11.2,8.9,5.8,74.1
"1.10.25","Ethnicity","Asian",14.6,10.9,7.8,66.7
"1.10.25","Ethnicity","Hispanic",14.6,14.5,8.4,62.5
"1.10.25","Ethnicity","White",17.7,20.3,11.7,50.3
"1.10.25","Education","College",16.1,18,10.5,55.3
"1.10.25","Education","No College",16.7,18.1,10.6,54.5
"1.10.25","Urbanicity","Rural",19.2,24.2,13.5,43.2
"1.10.25","Urbanicity","Suburban",17,19.2,11,52.8
"1.10.25","Urbanicity","Urban",13.3,10.6,7.2,68.9
"3.11.25","National","National",15.5,19.4,12.2,52.9
"3.11.25","Politics","Democrat",7.7,2.1,2.8,87.5
"3.11.25","Politics","Independent",24.4,16.4,15.4,43.9
"3.11.25","Politics","Republican",20,40.6,21.3,18.1
"3.11.25","Age","18-24",15.1,21.3,11.7,51.9
"3.11.25","Age","25-34",14.9,23.3,11.6,50.2
"3.11.25","Age","35-44",14.4,18.4,11.1,56
"3.11.25","Age","45-54",15.4,18.9,12.2,53.4
"3.11.25","Age","55-64",15.9,22.2,13.4,48.5
"3.11.25","Age","65+",15.9,17.4,12.3,54.4
"3.11.25","Sex","Female",14.5,17.2,10.9,57.4
"3.11.25","Sex","Gender Expansive",7.3,3.2,3.5,85.9
"3.11.25","Sex","Male",16.5,21.9,13.5,48.1
"3.11.25","Ethnicity","African American",11.8,11,7.3,69.9
"3.11.25","Ethnicity","Asian",14,12.3,9.4,64.3
"3.11.25","Ethnicity","Hispanic",14.5,17.2,10.2,58.1
"3.11.25","Ethnicity","White",16.2,21.3,13.3,49.2
"3.11.25","Education","College",14.9,17.5,11.7,55.9
"3.11.25","Education","No College",15.7,20.5,12.4,51.4
"3.11.25","Urbanicity","Rural",17.5,24.7,15.1,42.7
"3.11.25","Urbanicity","Suburban",15.7,20.6,12.6,51.1
"3.11.25","Urbanicity","Urban",13.1,12.6,8.8,65.4
"1.12.25","National","National",14.5,19,13.2,53.3
"1.12.25","Politics","Democrat",7.1,2,3,87.8
"1.12.25","Politics","Independent",23,16.7,17.1,43.2
"1.12.25","Politics","Republican",18.8,39.2,22.9,19
"1.12.25","Age","18-24",13.9,18.2,12.2,55.7
"1.12.25","Age","25-34",13.7,21.2,12.4,52.6
"1.12.25","Age","35-44",13.5,17.4,12,57
"1.12.25","Age","45-54",14.4,21.5,13.8,50.3
"1.12.25","Age","55-64",15.1,19.5,14.1,51.2
"1.12.25","Age","65+",15,17.7,13.5,53.9
"1.12.25","Sex","Female",13.6,16.9,11.9,57.7
"1.12.25","Sex","Gender Expansive",10.8,8.1,7.4,73.6
"1.12.25","Sex","Male",15.5,21.3,14.7,48.5
"1.12.25","Ethnicity","African American",10.4,9.5,7.5,72.6
"1.12.25","Ethnicity","Asian",13.7,15.3,11.5,59.5
"1.12.25","Ethnicity","Hispanic",13.5,16.8,11.1,58.5
"1.12.25","Ethnicity","White",15.3,20.8,14.4,49.5
"1.12.25","Education","College",14.1,18.5,13,54.4
"1.12.25","Education","No College",14.7,19.2,13.3,52.7
"1.12.25","Urbanicity","Rural",16.3,25.5,16.6,41.6
"1.12.25","Urbanicity","Suburban",14.8,19.2,13.5,52.5
"1.12.25","Urbanicity","Urban",12.3,12.3,9.6,65.9
"6.1.26","National","National",14.4,20.4,12.4,52.9
"6.1.26","Politics","Democrat",7.1,2.3,2.9,87.6
"6.1.26","Politics","Independent",22.6,21.1,17.2,39
"6.1.26","Politics","Republican",18.7,40.5,20.8,20
"6.1.26","Age","18-24",13.8,24.5,12.1,49.6
"6.1.26","Age","25-34",13.4,20.4,11.3,54.9
"6.1.26","Age","35-44",13.5,20.1,11.5,54.9
"6.1.26","Age","45-54",14.3,23.3,12.9,49.5
"6.1.26","Age","55-64",15,21.9,13.4,49.7
"6.1.26","Age","65+",14.9,18.5,12.5,54
"6.1.26","Sex","Female",13.5,16.9,10.9,58.7
"6.1.26","Sex","Gender Expansive",10.3,8.2,6.8,74.7
"6.1.26","Sex","Male",15.3,24.1,14,46.5
"6.1.26","Ethnicity","African American",10.7,11,7.3,71
"6.1.26","Ethnicity","Asian",13.4,14.7,10.3,61.7
"6.1.26","Ethnicity","Hispanic",13,17,10.2,59.8
"6.1.26","Ethnicity","White",15.2,22.5,13.5,48.8
"6.1.26","Education","College",14,20.3,12.3,53.4
"6.1.26","Education","No College",14.6,20.4,12.5,52.6
"6.1.26","Urbanicity","Rural",16.3,26.2,15.3,42.2
"6.1.26","Urbanicity","Suburban",14.7,21.6,12.8,50.9
"6.1.26","Urbanicity","Urban",12.1,13,9,65.9
"2.2.26","National","National",14.4,18.1,10.6,56.9
"2.2.26","Politics","Democrat",5.9,1.6,2,90.4
"2.2.26","Politics","Independent",21.8,11.6,11.3,55.3
"2.2.26","Politics","Republican",20.5,39.8,19.9,19.8
"2.2.26","Age","18-24",13.7,17.7,9.7,58.9
"2.2.26","Age","25-34",13.6,20.3,9.8,56.2
"2.2.26","Age","35-44",13.4,18.6,9.8,58.1
"2.2.26","Age","45-54",14.4,19.8,11,54.7
"2.2.26","Age","55-64",15.1,20.2,11.8,52.9
"2.2.26","Age","65+",14.8,15.5,10.5,59.2
"2.2.26","Sex","Female",13.3,16.3,9.5,60.9
"2.2.26","Sex","Gender Expansive",7.6,4.2,3.8,84.4
"2.2.26","Sex","Male",15.6,20,11.8,52.6
"2.2.26","Ethnicity","African American",10.5,10.4,6.2,72.9
"2.2.26","Ethnicity","Asian",13.9,17.6,9.6,58.8
"2.2.26","Ethnicity","Hispanic",12.1,12.1,7.6,68.3
"2.2.26","Ethnicity","White",15.3,20.1,11.7,53
"2.2.26","Education","College",14.1,18.2,10.7,57
"2.2.26","Education","No College",14.6,18,10.5,56.9
"2.2.26","Urbanicity","Rural",16.8,24.1,13.5,45.6
"2.2.26","Urbanicity","Suburban",14.8,19.2,11,55
"2.2.26","Urbanicity","Urban",11.5,10.7,7.1,70.7
