"Date","Demographic.Level","Extremely.motivated","Not.at.all.motivated","Not.very.motivated","Somewhat.motivated","Very.motivated"
"11.9.24","Male",61,4,7,11,16
"11.9.24","African American",58,4,8,12,18
"11.9.24","Asian",50,4,9,14,24
"11.9.24","Hispanic",59,4,8,11,17
"11.9.24","White",66,4,7,10,14
"11.9.24","College",66,4,7,10,14
"11.9.24","No College",62,4,7,11,16
"11.9.24","Rural",67,4,7,9,13
"11.9.24","Suburban",63,4,7,11,15
"11.9.24","Urban",59,4,8,11,17
"11.9.24","Alabama",64,4,7,10,15
"11.9.24","Alaska",67,4,7,10,13
"11.9.24","Arizona",62,4,7,11,16
"11.9.24","Arkansas",66,4,7,10,14
"11.9.24","California",60,4,8,11,17
"11.9.24","Colorado",62,4,7,11,16
"11.9.24","Connecticut",64,4,7,10,14
"11.9.24","Delaware",66,4,7,10,14
"11.9.24","District of Columbia",63,4,7,11,15
"11.9.24","Florida",63,4,7,11,15
"11.9.24","Georgia",62,4,7,11,16
"11.9.24","Hawaii",65,4,7,10,14
"11.9.24","Idaho",64,4,7,10,15
"11.9.24","Illinois",63,4,7,11,15
"11.9.24","Indiana",64,4,7,10,15
"11.9.24","Iowa",65,4,7,10,14
"11.9.24","Kansas",63,4,7,10,15
"11.9.24","Kentucky",65,4,7,10,14
"11.9.24","Louisiana",63,4,7,11,15
"11.9.24","Maine",69,4,6,9,12
"11.9.24","Maryland",62,4,7,11,16
"11.9.24","Massachusetts",65,4,7,10,14
"11.9.24","Michigan",63,4,7,10,15
"11.9.24","Minnesota",65,4,7,10,14
"11.9.24","Mississippi",69,4,7,9,12
"11.9.24","Missouri",64,4,7,10,15
"11.9.24","Montana",67,4,7,10,13
"11.9.24","Nebraska",64,4,7,10,15
"11.9.24","Nevada",61,4,8,11,16
"11.9.24","New Hampshire",71,4,6,8,11
"11.9.24","New Jersey",62,4,7,11,16
"11.9.24","New Mexico",65,4,7,10,14
"11.9.24","New York",62,4,7,11,16
"11.9.24","North Carolina",64,4,7,10,15
"11.9.24","North Dakota",68,4,7,9,12
"11.9.24","Ohio",65,4,7,10,14
"11.9.24","Oklahoma",66,4,7,10,14
"11.9.24","Oregon",64,4,7,10,14
"11.9.24","Pennsylvania",65,4,7,10,14
"11.9.24","Rhode Island",63,4,7,10,15
"11.9.24","South Carolina",64,4,7,10,14
"11.9.24","South Dakota",69,4,7,9,12
"11.9.24","Tennessee",65,4,7,10,14
"11.9.24","Texas",61,4,7,11,16
"11.9.24","Utah",64,4,7,10,15
"11.9.24","Vermont",70,4,6,9,12
"11.9.24","Virginia",63,4,7,11,15
"11.9.24","Washington",62,4,7,11,16
"11.9.24","West Virginia",67,4,7,9,13
"11.9.24","Wisconsin",68,4,7,9,12
"11.9.24","Wyoming",69,4,6,9,12
"23.9.24","National",61,5,7,11,17
"23.9.24","Democrat",67,4,6,10,13
"23.9.24","Independent",52,5,7,13,22
"23.9.24","Republican",59,5,7,12,18
"23.9.24","18-24",32,5,8,16,39
"23.9.24","25-34",44,5,8,15,28
"23.9.24","35-44",54,5,7,13,20
"23.9.24","45-54",59,5,7,12,17
"23.9.24","55-64",66,5,6,10,13
"23.9.24","65+",69,4,6,9,12
"23.9.24","Female",65,5,6,10,14
"23.9.24","Gender Expansive",51,5,7,13,23
"23.9.24","Male",57,5,7,12,19
"23.9.24","African American",52,5,7,13,22
"23.9.24","Asian",46,5,8,15,27
"23.9.24","Hispanic",60,5,7,11,17
"23.9.24","White",64,5,6,10,15
"23.9.24","College",65,5,6,10,14
"23.9.24","No College",59,5,7,12,18
"23.9.24","Rural",58,5,7,12,18
"23.9.24","Suburban",62,5,6,11,16
"23.9.24","Urban",62,5,6,11,16
"23.9.24","Alabama",58,5,7,12,18
"23.9.24","Alaska",61,5,7,11,16
"23.9.24","Arizona",61,5,7,11,16
"23.9.24","Arkansas",60,5,7,11,17
"23.9.24","California",61,5,7,11,17
"23.9.24","Colorado",61,5,7,11,17
"23.9.24","Connecticut",63,5,6,10,15
"23.9.24","Delaware",62,5,6,11,16
"23.9.24","District of Columbia",64,5,6,10,15
"23.9.24","Florida",62,5,6,11,16
"23.9.24","Georgia",58,5,7,12,19
"23.9.24","Hawaii",61,5,7,11,17
"23.9.24","Idaho",61,5,7,11,16
"23.9.24","Illinois",62,5,6,11,16
"23.9.24","Indiana",61,5,7,11,17
"23.9.24","Iowa",61,5,7,11,17
"23.9.24","Kansas",59,5,7,12,18
"23.9.24","Kentucky",61,5,7,11,17
"23.9.24","Louisiana",58,5,7,12,18
"23.9.24","Maine",64,5,6,10,15
"23.9.24","Maryland",61,5,7,11,17
"23.9.24","Massachusetts",64,5,6,10,15
"23.9.24","Michigan",61,5,7,11,17
"23.9.24","Minnesota",63,5,6,11,16
"23.9.24","Mississippi",61,5,7,11,16
"23.9.24","Missouri",61,5,7,11,17
"23.9.24","Montana",61,5,7,11,16
"23.9.24","Nebraska",61,5,7,11,16
"23.9.24","Nevada",61,5,7,11,17
"23.9.24","New Hampshire",66,5,6,10,13
"23.9.24","New Jersey",62,5,6,11,16
"23.9.24","New Mexico",61,5,6,11,16
"23.9.24","New York",62,5,6,11,16
"23.9.24","North Carolina",59,5,7,12,18
"23.9.24","North Dakota",64,5,6,10,15
"23.9.24","Ohio",62,5,6,11,16
"23.9.24","Oklahoma",61,5,7,11,16
"23.9.24","Oregon",62,5,6,11,16
"23.9.24","Pennsylvania",62,5,6,11,16
"23.9.24","Rhode Island",63,5,6,10,15
"23.9.24","South Carolina",59,5,7,11,17
"23.9.24","South Dakota",63,5,6,11,15
"23.9.24","Tennessee",60,5,7,11,17
"23.9.24","Texas",59,5,7,12,18
"23.9.24","Utah",62,5,6,11,15
"23.9.24","Vermont",64,5,6,10,15
"23.9.24","Virginia",60,5,7,11,18
"23.9.24","Washington",61,5,6,11,17
"23.9.24","West Virginia",61,5,7,11,17
"23.9.24","Wisconsin",65,5,6,10,14
"23.9.24","Wyoming",63,5,6,11,15
"7.10.24","National",62,5,7,10,17
"7.10.24","Democrat",66,5,7,9,14
"7.10.24","Independent",50,5,8,12,24
"7.10.24","Republican",62,5,7,9,16
"7.10.24","18-24",41,5,9,14,31
"7.10.24","25-34",45,6,9,13,28
"7.10.24","35-44",55,5,8,11,21
"7.10.24","45-54",59,5,8,10,18
"7.10.24","55-64",66,5,7,9,14
"7.10.24","65+",70,4,6,8,12
"7.10.24","Female",65,5,7,9,15
"7.10.24","Gender Expansive",61,5,7,10,17
"7.10.24","Male",58,5,8,10,19
"7.10.24","African American",51,5,8,12,24
"7.10.24","Asian",52,5,8,12,23
"7.10.24","Hispanic",64,5,7,9,15
"7.10.24","White",64,5,7,9,15
"7.10.24","College",67,5,7,8,14
"7.10.24","No College",59,5,7,10,18
"7.10.24","Rural",61,5,7,10,17
"7.10.24","Suburban",62,5,7,10,17
"7.10.24","Urban",63,5,7,9,16
"7.10.24","Alabama",59,5,7,10,18
"7.10.24","Alaska",62,5,7,9,16
"7.10.24","Arizona",62,5,7,9,16
"7.10.24","Arkansas",61,5,7,10,17
"7.10.24","California",62,5,7,9,17
"7.10.24","Colorado",62,5,7,10,17
"7.10.24","Connecticut",64,5,7,9,16
"7.10.24","Delaware",63,5,7,9,16
"7.10.24","District of Columbia",63,5,7,9,16
"7.10.24","Florida",62,5,7,9,16
"7.10.24","Georgia",58,5,7,10,19
"7.10.24","Hawaii",63,5,7,9,16
"7.10.24","Idaho",62,5,7,10,17
"7.10.24","Illinois",62,5,7,9,16
"7.10.24","Indiana",61,5,7,10,17
"7.10.24","Iowa",62,5,7,10,17
"7.10.24","Kansas",60,5,7,10,18
"7.10.24","Kentucky",61,5,7,10,17
"7.10.24","Louisiana",59,5,7,10,19
"7.10.24","Maine",64,5,7,9,15
"7.10.24","Maryland",61,5,7,10,17
"7.10.24","Massachusetts",64,5,7,9,15
"7.10.24","Michigan",61,5,7,10,17
"7.10.24","Minnesota",63,5,7,9,16
"7.10.24","Mississippi",62,5,7,10,16
"7.10.24","Missouri",61,5,7,10,17
"7.10.24","Montana",62,5,7,9,16
"7.10.24","Nebraska",62,5,7,9,16
"7.10.24","Nevada",62,5,7,10,17
"7.10.24","New Hampshire",67,5,7,8,14
"7.10.24","New Jersey",62,5,7,9,16
"7.10.24","New Mexico",64,5,7,9,16
"7.10.24","New York",63,5,7,9,16
"7.10.24","North Carolina",60,5,7,10,18
"7.10.24","North Dakota",64,5,7,9,15
"7.10.24","Ohio",62,5,7,9,16
"7.10.24","Oklahoma",62,5,7,9,16
"7.10.24","Oregon",63,5,7,9,16
"7.10.24","Pennsylvania",63,5,7,9,16
"7.10.24","Rhode Island",63,5,7,9,16
"7.10.24","South Carolina",60,5,7,10,18
"7.10.24","South Dakota",64,5,7,9,15
"7.10.24","Tennessee",61,5,7,10,17
"7.10.24","Texas",61,5,7,10,17
"7.10.24","Utah",63,5,7,9,16
"7.10.24","Vermont",65,5,7,9,15
"7.10.24","Virginia",60,5,7,10,18
"7.10.24","Washington",61,5,7,10,17
"7.10.24","West Virginia",62,5,7,10,16
"7.10.24","Wisconsin",65,5,7,9,14
"7.10.24","Wyoming",65,5,7,9,15
"22.10.24","National",67,5,5,9,15
"22.10.24","Democrat",71,4,5,8,12
"22.10.24","Independent",55,5,6,12,22
"22.10.24","Republican",68,5,5,9,14
"22.10.24","18-24",47,5,7,13,27
"22.10.24","25-34",56,5,6,11,21
"22.10.24","35-44",57,5,6,11,20
"22.10.24","45-54",62,5,6,10,17
"22.10.24","55-64",67,5,5,9,14
"22.10.24","65+",76,4,4,7,9
"22.10.24","Female",70,4,5,8,13
"22.10.24","Gender Expansive",78,4,4,6,9
"22.10.24","Male",64,5,6,10,16
"22.10.24","African American",56,5,6,11,21
"22.10.24","Asian",59,5,6,11,19
"22.10.24","Hispanic",67,5,5,9,15
"22.10.24","White",69,4,5,8,13
"22.10.24","College",67,5,5,9,14
"22.10.24","No College",67,5,5,9,15
"22.10.24","Rural",71,4,5,8,12
"22.10.24","Suburban",66,5,5,9,15
"22.10.24","Urban",63,5,6,10,17
"22.10.24","Alabama",67,5,5,9,14
"22.10.24","Alaska",70,4,5,8,13
"22.10.24","Arizona",66,5,5,9,15
"22.10.24","Arkansas",69,4,5,8,13
"22.10.24","California",65,5,6,9,16
"22.10.24","Colorado",65,5,5,9,15
"22.10.24","Connecticut",68,5,5,9,14
"22.10.24","Delaware",69,4,5,8,13
"22.10.24","District of Columbia",63,5,6,10,17
"22.10.24","Florida",66,5,5,9,15
"22.10.24","Georgia",65,5,6,9,16
"22.10.24","Hawaii",69,4,5,8,13
"22.10.24","Idaho",68,4,5,9,14
"22.10.24","Illinois",66,5,5,9,15
"22.10.24","Indiana",68,4,5,9,14
"22.10.24","Iowa",70,4,5,8,13
"22.10.24","Kansas",67,5,5,9,14
"22.10.24","Kentucky",69,4,5,8,13
"22.10.24","Louisiana",66,5,5,9,15
"22.10.24","Maine",73,4,5,7,11
"22.10.24","Maryland",65,5,5,9,15
"22.10.24","Massachusetts",68,4,5,9,14
"22.10.24","Michigan",67,5,5,9,15
"22.10.24","Minnesota",69,4,5,8,13
"22.10.24","Mississippi",71,4,5,8,12
"22.10.24","Missouri",67,5,5,9,14
"22.10.24","Montana",70,4,5,8,12
"22.10.24","Nebraska",68,4,5,9,14
"22.10.24","Nevada",65,5,6,9,15
"22.10.24","New Hampshire",73,4,5,7,11
"22.10.24","New Jersey",65,5,6,9,16
"22.10.24","New Mexico",70,4,5,8,13
"22.10.24","New York",65,5,5,9,15
"22.10.24","North Carolina",67,5,5,9,15
"22.10.24","North Dakota",71,4,5,8,12
"22.10.24","Ohio",68,4,5,9,14
"22.10.24","Oklahoma",69,4,5,8,13
"22.10.24","Oregon",68,4,5,9,14
"22.10.24","Pennsylvania",68,4,5,9,14
"22.10.24","Rhode Island",66,5,5,9,15
"22.10.24","South Carolina",67,5,5,9,14
"22.10.24","South Dakota",72,4,5,7,11
"22.10.24","Tennessee",68,4,5,9,14
"22.10.24","Texas",65,5,5,9,15
"22.10.24","Utah",67,5,5,9,14
"22.10.24","Vermont",74,4,4,7,10
"22.10.24","Virginia",66,5,5,9,15
"22.10.24","Washington",66,5,5,9,15
"22.10.24","West Virginia",71,4,5,8,12
"22.10.24","Wisconsin",71,4,5,8,12
"22.10.24","Wyoming",73,4,5,7,11
