Date,Demographic.Factors,Demographic.Level,Much.more.safe,Somewhat.more.safe,No.change,Somewhat.less.safe,Much.less.safe
17.12.24,Age,55-64,2.1,8.8,42.4,31.9,14.7
17.12.24,Age,65+,2.4,7.5,43.9,29.1,17.1
17.12.24,Sex,Female,2.3,7.9,43.4,29.8,16.5
17.12.24,Sex,Gender Expansive,3.3,4.4,45.3,20.4,26.6
17.12.24,Sex,Male,2.2,8.8,42.3,31.8,14.9
17.12.24,Ethnicity,African American,2.3,7.9,43.5,29.8,16.5
17.12.24,Ethnicity,Asian,2.2,8.8,42.4,31.7,15
17.12.24,Ethnicity,Hispanic,2.2,8.4,42.8,31,15.5
17.12.24,Ethnicity,White,2.2,8.4,42.9,30.9,15.7
17.12.24,Education,College,2,9.6,41.4,33.3,13.7
17.12.24,Education,No College,2.4,7.7,43.6,29.5,16.7
17.12.24,Urbanicity,Rural,2.3,8.2,43.1,30.5,16
17.12.24,Urbanicity,Suburban,2.2,8.4,42.8,30.9,15.6
17.12.24,Urbanicity,Urban,2.2,8.4,42.9,30.9,15.6
2.4.25,National,National,8.1,18,25.8,24.1,24
2.4.25,Politics,Democrat,9.8,11.1,27,19.5,32.6
2.4.25,Politics,Independent,8.6,15.7,27.3,23.8,24.5
2.4.25,Politics,Republican,6,26.9,23.7,29.4,14
2.4.25,Age,18-24,7.5,20.8,25.5,25.8,20.4
2.4.25,Age,25-34,7.4,21.4,25.3,26,19.9
2.4.25,Age,35-44,7.8,19.7,25.7,25.2,21.6
2.4.25,Age,45-54,7.2,22.2,24.9,26.4,19.3
2.4.25,Age,55-64,8.2,17.3,26,23.9,24.6
2.4.25,Age,65+,8.8,14.7,26.3,22,28.2
2.4.25,Sex,Female,8.5,16.3,26.1,23,26
2.4.25,Sex,Gender Expansive,10.3,6.6,23.1,13.2,46.8
2.4.25,Sex,Male,7.7,19.9,25.4,25.2,21.8
2.4.25,Ethnicity,African American,8.5,16.5,26.6,23.5,24.8
2.4.25,Ethnicity,Asian,9.5,12.1,26.2,19.7,32.5
2.4.25,Ethnicity,Hispanic,9.8,10.7,25.8,18.2,35.5
2.4.25,Ethnicity,White,7.7,19.6,25.7,25.2,21.8
2.4.25,Education,College,7.7,19.9,25.5,25.2,21.8
2.4.25,Education,No College,8.3,17.1,26,23.5,25.1
2.4.25,Urbanicity,Rural,7.5,20.3,25.4,25.6,21.1
2.4.25,Urbanicity,Suburban,7.8,19.3,25.7,24.9,22.3
2.4.25,Urbanicity,Urban,9.1,14,26.4,21.4,29.2
23.4.25,National,National,6,18.4,28,26.3,21.3
23.4.25,Politics,Democrat,7.6,10.9,30.6,21.3,29.7
23.4.25,Politics,Independent,6.4,15.5,30.1,26,22
23.4.25,Politics,Republican,4,28.3,24.1,32.2,11.5
23.4.25,Age,18-24,5.9,19.1,28,26.8,20.2
23.4.25,Age,25-34,6,18.3,28.2,26.3,21.1
23.4.25,Age,35-44,5.9,19,28,26.7,20.4
23.4.25,Age,45-54,6.2,17.2,28.3,25.6,22.7
23.4.25,Age,55-64,6.3,16.8,28.3,25.3,23.3
23.4.25,Age,65+,5.8,19.3,27.7,26.8,20.4
23.4.25,Sex,Female,6.5,16,28.8,24.8,23.9
23.4.25,Sex,Gender Expansive,7.8,3.7,20.8,9.1,58.6
23.4.25,Sex,Male,5.5,21,27.1,27.9,18.5
23.4.25,Ethnicity,African American,6.7,15,29.5,24.3,24.5
23.4.25,Ethnicity,Asian,6.4,16.3,28.8,25.1,23.4
23.4.25,Ethnicity,Hispanic,7.2,13,29.4,22.4,28.1
23.4.25,Ethnicity,White,5.7,19.8,27.5,27.2,19.7
23.4.25,Education,College,5.8,19.6,27.5,27,20.1
23.4.25,Education,No College,6.1,17.8,28.2,26,21.9
23.4.25,Urbanicity,Rural,5.6,20,27.3,27.4,19.6
23.4.25,Urbanicity,Suburban,6.1,17.9,28,25.9,22
23.4.25,Urbanicity,Urban,6.2,17.4,28.6,25.8,21.9
4.6.25,National,National,5.7,15,30.6,26.2,22.4
4.6.25,Politics,Democrat,6.8,10.2,32.2,21.9,28.9
4.6.25,Politics,Independent,6.2,12.5,32.2,24.7,24.5
4.6.25,Politics,Republican,4.3,21.7,28,31.8,14.2
4.6.25,Age,18-24,5.2,17.4,29.9,28.2,19.2
4.6.25,Age,25-34,5.3,17,30.1,27.8,19.8
4.6.25,Age,35-44,5.7,15.1,30.7,26.3,22.1
4.6.25,Age,45-54,5.9,14,30.9,25.4,23.8
4.6.25,Age,55-64,5.5,16.1,30.2,27.2,21
4.6.25,Age,65+,5.9,14.1,30.8,25.4,23.7
4.6.25,Sex,Female,6,13.6,31.1,24.9,24.4
4.6.25,Sex,Gender Expansive,6.5,2.3,18.3,6.7,66.1
4.6.25,Sex,Male,5.4,16.6,30.1,27.6,20.3
4.6.25,Ethnicity,African American,6.1,13.3,31.5,24.9,24.3
4.6.25,Ethnicity,Asian,6.1,13.5,31.1,24.9,24.4
4.6.25,Ethnicity,Hispanic,6.6,11,31.5,22.2,28.6
4.6.25,Ethnicity,White,5.5,15.9,30.3,27,21.2
4.6.25,Education,College,5.3,17,29.9,27.9,19.9
4.6.25,Education,No College,5.9,14,30.9,25.4,23.7
4.6.25,Urbanicity,Rural,5.5,15.8,30.3,27,21.4
4.6.25,Urbanicity,Suburban,5.9,14.3,30.7,25.5,23.5
4.6.25,Urbanicity,Urban,5.7,15.2,30.8,26.4,21.9
1.7.25,National,National,6.8,14.7,20.3,29.9,28.3
1.7.25,Politics,Democrat,8.2,7.9,21.4,22.9,39.6
1.7.25,Politics,Independent,7.1,13.1,21.9,30.6,27.4
1.7.25,Politics,Republican,5,23,18.4,37.6,15.9
1.7.25,Age,18-24,6.7,15.4,20.4,30.6,27
1.7.25,Age,25-34,6.7,15.2,20.4,30.3,27.3
1.7.25,Age,35-44,7.1,13.1,20.6,28.4,30.8
1.7.25,Age,45-54,6.9,13.8,20.4,29.2,29.6
1.7.25,Age,55-64,6.7,14.9,20.3,30.3,27.8
1.7.25,Age,65+,6.6,15.3,20.2,30.6,27.2
1.7.25,Sex,Female,7.2,12.3,20.7,27.8,31.9
1.7.25,Sex,Gender Expansive,7.1,3.3,14.5,11.4,63.7
1.7.25,Sex,Male,6.3,17.2,19.9,32.3,24.2
1.7.25,Ethnicity,African American,7.4,12,21.1,27.4,32.1
1.7.25,Ethnicity,Asian,7.4,11.6,20.7,26.8,33.5
1.7.25,Ethnicity,Hispanic,7.3,12.2,20.9,27.5,32.1
1.7.25,Ethnicity,White,6.6,15.6,20.1,30.8,26.9
1.7.25,Education,College,6.8,14.6,20.3,29.8,28.6
1.7.25,Education,No College,6.8,14.7,20.4,30,28.1
1.7.25,Urbanicity,Rural,6.3,16.8,19.9,32.1,24.9
1.7.25,Urbanicity,Suburban,6.8,14.8,20.3,30,28.2
1.7.25,Urbanicity,Urban,7.3,12.4,20.8,27.8,31.7
5.8.25,National,National,4.3,13.2,29.8,30.5,22.2
5.8.25,Politics,Democrat,5.3,8.1,32.2,24.5,29.8
5.8.25,Politics,Independent,4.6,10.8,31.8,29.1,23.6
5.8.25,Politics,Republican,3,20.1,26.1,37.9,12.9
5.8.25,Age,18-24,4.2,13.5,29.9,30.9,21.5
5.8.25,Age,25-34,4,14.8,29.3,32.2,19.7
5.8.25,Age,35-44,4.6,11.6,30.5,28.6,24.7
5.8.25,Age,45-54,4.4,12.6,30.1,29.8,23.1
5.8.25,Age,55-64,4,14.4,29.2,31.8,20.5
5.8.25,Age,65+,4.3,13,29.9,30.3,22.4
5.8.25,Sex,Female,4.6,11.5,30.6,28.5,24.8
5.8.25,Sex,Gender Expansive,5.7,6.2,30.6,20,37.5
5.8.25,Sex,Male,3.9,15.2,28.9,32.6,19.4
5.8.25,Ethnicity,African American,5.2,8.4,31.4,24.1,30.8
5.8.25,Ethnicity,Asian,4.8,10.6,31,27.4,26.2
5.8.25,Ethnicity,Hispanic,4.2,13.6,30.1,31.3,20.9
5.8.25,Ethnicity,White,4.1,14,29.5,31.4,21
5.8.25,Education,College,4.3,13.1,29.8,30.3,22.5
5.8.25,Education,No College,4.3,13.3,29.8,30.6,22.1
5.8.25,Urbanicity,Rural,3.9,15.2,28.9,32.7,19.3
5.8.25,Urbanicity,Suburban,4.1,14,29.6,31.4,21
5.8.25,Urbanicity,Urban,4.8,10.3,31.1,27.1,26.6
5.9.25,National,National,5.1,12.5,33.7,24.2,24.5
5.9.25,Politics,Democrat,6.4,6.9,35,17.7,34.1
5.9.25,Politics,Independent,5.5,10.2,36.1,23,25.2
5.9.25,Politics,Republican,3.5,19.8,31.2,32.1,13.4
5.9.25,Age,18-24,5.2,12,34.3,23.9,24.5
5.9.25,Age,25-34,5.2,12.1,34.1,23.9,24.6
5.9.25,Age,35-44,5.4,11,34.1,22.5,27
5.9.25,Age,45-54,4.8,13.9,33.4,25.6,22.2
5.9.25,Age,55-64,4.7,14.5,33.1,26.2,21.5
5.9.25,Age,65+,5.2,11.8,33.9,23.5,25.6
5.9.25,Sex,Female,5.4,11.4,34,22.9,26.3
5.9.25,Sex,Gender Expansive,5.1,1.5,16.8,4.8,71.7
5.9.25,Sex,Male,4.9,13.7,33.4,25.5,22.5
5.9.25,Ethnicity,African American,6.3,7.2,33.8,17.5,35.2
5.9.25,Ethnicity,Asian,5.8,9.3,34.3,20.6,30
5.9.25,Ethnicity,Hispanic,6,8.5,34.4,19.5,31.6
5.9.25,Ethnicity,White,4.8,13.9,33.6,26,21.7
5.9.25,Education,College,4.6,15.2,33,26.9,20.3
5.9.25,Education,No College,5.4,11,34.1,22.8,26.7
5.9.25,Urbanicity,Rural,4.8,13.8,33.5,25.9,22
5.9.25,Urbanicity,Suburban,5,13.2,33.5,24.9,23.3
5.9.25,Urbanicity,Urban,5.6,10.1,34.3,21.4,28.6
1.10.25,National,National,4.1,10.7,25.8,33.1,26.4
1.10.25,Politics,Democrat,4.9,6.5,27.4,26.4,34.7
1.10.25,Politics,Independent,4.5,8.4,27.5,30.9,28.7
1.10.25,Politics,Republican,3,16.5,23.1,41.7,15.7
1.10.25,Age,18-24,3.7,12.9,25.1,36.2,22.1
1.10.25,Age,25-34,3.9,12.2,25.4,35.3,23.3
1.10.25,Age,35-44,4.5,8.5,26.4,29.6,31
1.10.25,Age,45-54,4.1,10.6,25.8,33.1,26.4
1.10.25,Age,55-64,4,11.3,25.5,34.1,25.2
1.10.25,Age,65+,4.1,10.7,25.8,33.2,26.2
1.10.25,Sex,Female,4.3,9.5,26.2,31.4,28.5
1.10.25,Sex,Gender Expansive,5,5.9,26.4,24.1,38.6
1.10.25,Sex,Male,3.9,11.9,25.3,34.9,24
1.10.25,Ethnicity,African American,4.8,7.2,26.9,27.2,34
1.10.25,Ethnicity,Asian,4.5,8.6,26.6,30,30.3
1.10.25,Ethnicity,Hispanic,4.8,7,26.7,26.7,34.8
1.10.25,Ethnicity,White,3.9,11.8,25.5,35,23.9
1.10.25,Education,College,4,11.1,25.6,33.8,25.4
1.10.25,Education,No College,4.1,10.4,25.9,32.7,26.8
1.10.25,Urbanicity,Rural,3.9,11.8,25.3,35,24
1.10.25,Urbanicity,Suburban,4,11.4,25.5,34.2,24.9
1.10.25,Urbanicity,Urban,4.5,8.6,26.6,29.7,30.6
