Date,Demographic.Factors,Demographic.Level,Very.favorable,Somewhat.favorable,Somewhat.unfavorable,Very.unfavorable
3.2.25,Education,No College,22.6,19.5,10.1,47.7
3.2.25,Urbanicity,Rural,25.1,24,12.3,38.7
3.2.25,Urbanicity,Suburban,22.6,20,10.3,47.1
3.2.25,Urbanicity,Urban,19.3,13.6,7.5,59.6
13.1.25,National,National,22.6,20.3,11,46
13.1.25,Politics,Democrat,15.5,4.1,3.9,76.6
13.1.25,Politics,Independent,30.2,25.7,15.2,28.9
13.1.25,Politics,Republican,27.1,36.2,17.1,19.6
13.1.25,Age,18-24,22.2,28.2,11.6,38
13.1.25,Age,25-34,22,23,10.8,44.2
13.1.25,Age,35-44,21.6,18,10,50.3
13.1.25,Age,45-54,22.6,24.1,11.8,41.4
13.1.25,Age,55-64,23.3,21.5,11.7,43.5
13.1.25,Age,65+,23,18.1,10.8,48.1
13.1.25,Sex,Female,21.8,17.6,9.9,50.7
13.1.25,Sex,Gender Expansive,0,0,0,100
13.1.25,Sex,Male,23.6,23.3,12.1,41
13.1.25,Ethnicity,African American,22.6,18.2,9.1,50
13.1.25,Ethnicity,Asian,22,19.2,10.3,48.5
13.1.25,Ethnicity,Hispanic,18.9,11,7.4,62.8
13.1.25,Ethnicity,White,23.2,22,11.8,43
13.1.25,Education,College,22.2,19.6,10.8,47.4
13.1.25,Education,No College,22.8,20.7,11.1,45.3
13.1.25,Urbanicity,Rural,24.2,27.3,13.4,35
13.1.25,Urbanicity,Suburban,23,19.8,11,46.1
13.1.25,Urbanicity,Urban,20.6,14.2,8.5,56.8
17.12.24,National,National,24.3,19,10.3,46.4
17.12.24,Politics,Democrat,15,3.2,3,78.8
17.12.24,Politics,Independent,33.2,25.9,14.9,26
17.12.24,Politics,Republican,30.6,33.6,16.5,19.3
17.12.24,Age,18-24,23.5,24.1,10.7,41.7
17.12.24,Age,25-34,23,19.6,9.8,47.6
17.12.24,Age,35-44,23.1,18.2,9.7,49
17.12.24,Age,45-54,24.4,19.5,10.5,45.5
17.12.24,Age,55-64,25.1,21.1,11.2,42.6
17.12.24,Age,65+,24.9,17.8,10.3,47
17.12.24,Sex,Female,23.1,16.5,9.3,51.1
17.12.24,Sex,Gender Expansive,0,0,0,100
17.12.24,Sex,Male,25.6,21.7,11.5,41.3
17.12.24,Ethnicity,African American,23.1,16.9,8,52
17.12.24,Ethnicity,Asian,22.8,17.1,9.3,50.8
17.12.24,Ethnicity,Hispanic,20.9,13.2,7.8,58.1
17.12.24,Ethnicity,White,25,20.2,11.1,43.7
17.12.24,Education,College,23.7,18.9,10.2,47.3
17.12.24,Education,No College,24.6,19.1,10.4,45.9
17.12.24,Urbanicity,Rural,26.9,23.4,12.5,37.2
17.12.24,Urbanicity,Suburban,24.7,20.4,10.8,44.1
17.12.24,Urbanicity,Urban,21.2,12.7,7.6,58.4
23.4.25,National,National,19.7,19.5,12.3,48.5
23.4.25,Politics,Democrat,14.6,5,5.4,75.1
23.4.25,Politics,Independent,25.4,18.8,14.7,41
23.4.25,Politics,Republican,22.7,36.4,19.1,21.8
23.4.25,Age,18-24,20.3,26.3,13.6,39.9
23.4.25,Age,25-34,19.9,22.9,12.7,44.5
23.4.25,Age,35-44,19.7,21.3,12.4,46.6
23.4.25,Age,45-54,19.8,20.7,12.7,46.8
23.4.25,Age,55-64,19.9,19.2,12.6,48.2
23.4.25,Age,65+,19.5,17,11.8,51.8
23.4.25,Sex,Female,19.1,18.1,11.5,51.2
23.4.25,Sex,Gender Expansive,5.5,1.7,1.9,91
23.4.25,Sex,Male,20.3,21.1,13.2,45.5
23.4.25,Ethnicity,African American,18.7,14.8,9.9,56.7
23.4.25,Ethnicity,Asian,18.4,14.8,10.4,56.4
23.4.25,Ethnicity,Hispanic,19,16.9,10.9,53.2
23.4.25,Ethnicity,White,20,20.8,13,46.2
23.4.25,Education,College,19.3,20.7,12.5,47.4
23.4.25,Education,No College,19.9,18.9,12.2,49
23.4.25,Urbanicity,Rural,20.8,23.4,14.2,41.5
23.4.25,Urbanicity,Suburban,19.5,18.9,12.1,49.5
23.4.25,Urbanicity,Urban,18.9,16.6,10.7,53.8
2.4.25,National,National,21.3,20.1,11,47.7
2.4.25,Politics,Democrat,14,4,3.8,78.2
2.4.25,Politics,Independent,28.5,26.1,15.3,30
2.4.25,Politics,Republican,26.1,35.4,17,21.4
2.4.25,Age,18-24,21,27.4,11.6,40
2.4.25,Age,25-34,20.7,23.6,11,44.7
2.4.25,Age,35-44,20.3,17.7,10,52
2.4.25,Age,45-54,21.4,23,11.7,44
2.4.25,Age,55-64,22,19.4,11.2,47.4
2.4.25,Age,65+,21.6,18.7,10.9,48.7
2.4.25,Sex,Female,20.4,18.7,10.2,50.7
2.4.25,Sex,Gender Expansive,6.8,2,1.9,89.3
2.4.25,Sex,Male,22.2,21.6,11.8,44.4
2.4.25,Ethnicity,African American,20.7,17.7,9,52.7
2.4.25,Ethnicity,Asian,20,17.1,9.7,53.3
2.4.25,Ethnicity,Hispanic,18.4,13.4,8.2,59.9
2.4.25,Ethnicity,White,21.8,21.5,11.7,44.9
2.4.25,Education,College,20.7,19.5,10.7,49.1
2.4.25,Education,No College,21.6,20.4,11.1,46.9
2.4.25,Urbanicity,Rural,23.2,23.6,12.8,40.4
2.4.25,Urbanicity,Suburban,21.3,20.4,11.1,47.3
2.4.25,Urbanicity,Urban,19.4,16.3,9,55.3
4.6.25,National,National,18.1,18.6,11.1,52.2
4.6.25,Politics,Democrat,12.4,4.8,4.7,78.1
4.6.25,Politics,Independent,23,17.5,12.8,46.7
4.6.25,Politics,Republican,22.1,34.9,17.5,25.5
4.6.25,Age,18-24,18.8,27.2,12.7,41.3
4.6.25,Age,25-34,18,20,11.1,50.9
4.6.25,Age,35-44,17.8,18.5,10.8,52.9
4.6.25,Age,45-54,18.5,22.1,12,47.4
4.6.25,Age,55-64,18.6,21,12.1,48.3
4.6.25,Age,65+,17.7,15.5,10.3,56.4
4.6.25,Sex,Female,17.3,16.7,10.2,55.8
4.6.25,Sex,Gender Expansive,3.8,1.3,1.3,93.6
4.6.25,Sex,Male,18.8,20.8,12,48.4
4.6.25,Ethnicity,African American,18.1,16.6,9.9,55.4
4.6.25,Ethnicity,Asian,15.2,10.8,7.9,66
4.6.25,Ethnicity,Hispanic,14.5,9.9,7.3,68.3
4.6.25,Ethnicity,White,18.7,20.6,12,48.8
4.6.25,Education,College,18,21.4,11.7,48.9
4.6.25,Education,No College,18.1,17.2,10.7,54
4.6.25,Urbanicity,Rural,19.4,20.4,12.4,47.9
4.6.25,Urbanicity,Suburban,17.9,19.5,11.3,51.3
4.6.25,Urbanicity,Urban,16.9,15.8,9.5,57.8
1.7.25,National,National,16.6,17.6,11.1,54.7
1.7.25,Politics,Democrat,7.1,1.9,2.3,88.8
1.7.25,Politics,Independent,25.5,18,14.8,41.8
1.7.25,Politics,Republican,23.1,35.2,19.5,22.3
1.7.25,Age,18-24,15.6,19.5,10.9,54
1.7.25,Age,25-34,15.3,20.3,10.7,53.8
1.7.25,Age,35-44,15.5,18.6,10.7,55.2
1.7.25,Age,45-54,16.6,18.8,11.6,52.9
1.7.25,Age,55-64,17.5,17.5,11.8,53.3
1.7.25,Age,65+,17.1,15.6,11,56.2
1.7.25,Sex,Female,15.3,15.1,9.8,59.7
1.7.25,Sex,Gender Expansive,6.8,2.5,2.7,88
1.7.25,Sex,Male,17.9,20.3,12.5,49.3
1.7.25,Ethnicity,African American,12.3,10.5,6.8,70.5
1.7.25,Ethnicity,Asian,15.4,14,9.5,61.1
1.7.25,Ethnicity,Hispanic,13,9.1,7.1,70.9
1.7.25,Ethnicity,White,17.8,20,12.4,49.9
1.7.25,Education,College,16.2,19.1,11.4,53.3
1.7.25,Education,No College,16.8,16.8,11,55.5
1.7.25,Urbanicity,Rural,19.3,20.8,13.5,46.4
1.7.25,Urbanicity,Suburban,16.7,18.8,11.5,53
1.7.25,Urbanicity,Urban,13.7,12.8,8.3,65.3
5.8.25,National,National,15.5,19.1,12,53.4
5.8.25,Politics,Democrat,8.5,2.5,3.3,85.7
5.8.25,Politics,Independent,23.1,13.8,13.7,49.4
5.8.25,Politics,Republican,19.8,40.4,21.2,18.7
5.8.25,Age,18-24,15,16.8,10.8,57.5
5.8.25,Age,25-34,15.2,20.4,11.4,53.1
5.8.25,Age,35-44,14.9,19.1,11.3,54.8
5.8.25,Age,45-54,15.5,19.1,12.1,53.3
5.8.25,Age,55-64,16,21,13.1,50
5.8.25,Age,65+,15.7,17.9,12.2,54.2
5.8.25,Sex,Female,14.7,17.6,11,56.7
5.8.25,Sex,Gender Expansive,8.3,4.2,4.2,83.3
5.8.25,Sex,Male,16.4,20.7,13.2,49.7
5.8.25,Ethnicity,African American,12.8,12,7.9,67.3
5.8.25,Ethnicity,Asian,14.5,15.6,10.3,59.5
5.8.25,Ethnicity,Hispanic,14.9,17.3,10.3,57.5
5.8.25,Ethnicity,White,16,20.5,13,50.5
5.8.25,Education,College,14.9,18.4,11.8,54.8
5.8.25,Education,No College,15.8,19.4,12.1,52.7
5.8.25,Urbanicity,Rural,17.3,24.3,14.8,43.5
5.8.25,Urbanicity,Suburban,15.7,20,12.3,52
5.8.25,Urbanicity,Urban,13.5,12.7,8.9,64.9
5.9.25,National,National,15.1,18.3,12.4,54.3
5.9.25,Politics,Democrat,6.6,1.7,2.4,89.3
5.9.25,Politics,Independent,24.1,15.4,15.6,44.9
5.9.25,Politics,Republican,20.4,38.5,22.1,19
5.9.25,Age,18-24,14.3,19.9,11.8,54
5.9.25,Age,25-34,14.1,22.9,11.8,51.2
5.9.25,Age,35-44,13.9,18.2,11.5,56.5
5.9.25,Age,45-54,14.9,21.3,13.1,50.7
5.9.25,Age,55-64,15.9,17.2,13,53.9
5.9.25,Age,65+,15.6,15.9,12.4,56.1
5.9.25,Sex,Female,14,16.2,11,58.8
5.9.25,Sex,Gender Expansive,9.2,5.1,5.2,80.4
5.9.25,Sex,Male,16.2,20.6,13.8,49.4
5.9.25,Ethnicity,African American,10.6,9.3,6.9,73.2
5.9.25,Ethnicity,Asian,13.9,12.8,10,63.2
5.9.25,Ethnicity,Hispanic,13,12.3,9.1,65.6
5.9.25,Ethnicity,White,16,20.7,13.7,49.5
5.9.25,Education,College,14.7,18.1,12.3,54.9
5.9.25,Education,No College,15.3,18.4,12.4,54
5.9.25,Urbanicity,Rural,17.2,24.3,15.6,42.8
5.9.25,Urbanicity,Suburban,15.4,18.5,12.6,53.6
5.9.25,Urbanicity,Urban,12.5,12.1,8.9,66.5
1.10.25,National,National,16.9,18.1,10.6,54.4
1.10.25,Politics,Democrat,7.2,1.7,2,89.1
1.10.25,Politics,Independent,26.5,15.1,12.9,45.4
1.10.25,Politics,Republican,23.4,38,19.2,19.3
1.10.25,Age,18-24,16,16.8,9.7,57.6
1.10.25,Age,25-34,15.8,19.9,9.9,54.4
1.10.25,Age,35-44,15.7,18.5,9.9,55.8
1.10.25,Age,45-54,17,18.8,10.9,53.4
1.10.25,Age,55-64,17.8,19.1,11.5,51.6
1.10.25,Age,65+,17.5,16.6,10.7,55.2
1.10.25,Sex,Female,15.7,15.9,9.4,58.9
1.10.25,Sex,Gender Expansive,10.7,5.9,4.8,78.6
1.10.25,Sex,Male,18.3,20.4,11.9,49.4
1.10.25,Ethnicity,African American,12.6,11.2,6.4,69.7
1.10.25,Ethnicity,Asian,15.1,11.7,8.1,65
1.10.25,Ethnicity,Hispanic,14.9,14.7,8.4,61.9
1.10.25,Ethnicity,White,17.9,19.9,11.6,50.6
1.10.25,Education,College,16.5,17.2,10.4,56
1.10.25,Education,No College,17.2,18.6,10.7,53.5
1.10.25,Urbanicity,Rural,19.6,24.1,13.5,42.7
1.10.25,Urbanicity,Suburban,17.4,19.5,11.1,52
1.10.25,Urbanicity,Urban,13.6,10.3,7.1,69
