"Date","Demographic.Level","Extremely.likely","Not.at.all.likely","Not.very.likely","Somewhat.likely","Very.likely"
"11.9.24","Nebraska",71,3,5,8,13
"11.9.24","Nevada",69,3,5,8,14
"11.9.24","New Hampshire",75,3,4,7,11
"11.9.24","New Jersey",70,3,5,8,14
"11.9.24","New Mexico",72,3,4,8,12
"11.9.24","New York",70,3,5,8,14
"11.9.24","North Carolina",70,3,5,8,14
"11.9.24","North Dakota",73,3,4,7,12
"11.9.24","Ohio",71,3,5,8,13
"11.9.24","Oklahoma",72,3,5,8,13
"11.9.24","Oregon",71,3,5,8,13
"11.9.24","Pennsylvania",72,3,5,8,13
"11.9.24","Rhode Island",71,3,5,8,13
"11.9.24","South Carolina",70,3,5,8,14
"11.9.24","South Dakota",74,3,4,7,11
"11.9.24","Tennessee",71,3,5,8,13
"11.9.24","Texas",69,3,5,8,15
"11.9.24","Utah",71,3,5,8,13
"11.9.24","Vermont",75,3,4,7,11
"11.9.24","Virginia",69,3,5,8,14
"11.9.24","Washington",69,3,5,8,14
"11.9.24","West Virginia",72,3,5,8,13
"11.9.24","Wisconsin",74,3,4,7,11
"11.9.24","Wyoming",74,3,4,7,12
"23.9.24","National",69,4,4,8,15
"23.9.24","Democrat",75,3,3,7,11
"23.9.24","Independent",56,5,5,11,24
"23.9.24","Republican",69,4,4,8,15
"23.9.24","18-24",37,5,5,13,40
"23.9.24","25-34",52,5,5,12,26
"23.9.24","35-44",61,5,5,10,20
"23.9.24","45-54",69,4,4,8,15
"23.9.24","55-64",74,4,4,7,12
"23.9.24","65+",77,3,3,6,10
"23.9.24","Female",71,4,4,8,14
"23.9.24","Gender Expansive",84,2,2,4,7
"23.9.24","Male",67,4,4,9,17
"23.9.24","African American",62,4,4,10,19
"23.9.24","Asian",49,5,5,12,29
"23.9.24","Hispanic",69,4,4,8,15
"23.9.24","White",72,4,4,8,13
"23.9.24","College",75,3,3,7,11
"23.9.24","No College",66,4,4,9,17
"23.9.24","Rural",68,4,4,9,16
"23.9.24","Suburban",70,4,4,8,15
"23.9.24","Urban",69,4,4,8,15
"23.9.24","Alabama",67,4,4,9,16
"23.9.24","Alaska",69,4,4,8,15
"23.9.24","Arizona",69,4,4,8,15
"23.9.24","Arkansas",69,4,4,8,15
"23.9.24","California",68,4,4,8,16
"23.9.24","Colorado",69,4,4,8,15
"23.9.24","Connecticut",72,4,4,8,13
"23.9.24","Delaware",71,4,4,8,14
"23.9.24","District of Columbia",72,4,4,8,13
"23.9.24","Florida",70,4,4,8,15
"23.9.24","Georgia",66,4,4,9,17
"23.9.24","Hawaii",68,4,4,8,16
"23.9.24","Idaho",69,4,4,8,15
"23.9.24","Illinois",70,4,4,8,15
"23.9.24","Indiana",69,4,4,8,15
"23.9.24","Iowa",69,4,4,8,15
"23.9.24","Kansas",67,4,4,9,16
"23.9.24","Kentucky",69,4,4,8,15
"23.9.24","Louisiana",67,4,4,9,16
"23.9.24","Maine",73,4,4,7,13
"23.9.24","Maryland",69,4,4,8,15
"23.9.24","Massachusetts",72,4,4,7,13
"23.9.24","Michigan",69,4,4,8,15
"23.9.24","Minnesota",71,4,4,8,14
"23.9.24","Mississippi",71,4,4,8,14
"23.9.24","Missouri",69,4,4,8,15
"23.9.24","Montana",70,4,4,8,14
"23.9.24","Nebraska",70,4,4,8,15
"23.9.24","Nevada",68,4,4,8,16
"23.9.24","New Hampshire",75,3,3,7,11
"23.9.24","New Jersey",69,4,4,8,15
"23.9.24","New Mexico",70,4,4,8,14
"23.9.24","New York",69,4,4,8,15
"23.9.24","North Carolina",68,4,4,8,16
"23.9.24","North Dakota",72,4,4,7,13
"23.9.24","Ohio",70,4,4,8,14
"23.9.24","Oklahoma",70,4,4,8,14
"23.9.24","Oregon",70,4,4,8,14
"23.9.24","Pennsylvania",71,4,4,8,14
"23.9.24","Rhode Island",71,4,4,8,14
"23.9.24","South Carolina",69,4,4,8,15
"23.9.24","South Dakota",72,4,4,7,13
"23.9.24","Tennessee",69,4,4,8,15
"23.9.24","Texas",67,4,4,9,16
"23.9.24","Utah",70,4,4,8,14
"23.9.24","Vermont",74,4,3,7,12
"23.9.24","Virginia",68,4,4,8,16
"23.9.24","Washington",68,4,4,8,16
"23.9.24","West Virginia",70,4,4,8,14
"23.9.24","Wisconsin",73,4,4,7,12
"23.9.24","Wyoming",72,4,4,8,13
"7.10.24","National",69,4,4,9,13
"7.10.24","Democrat",75,4,4,7,10
"7.10.24","Independent",52,5,5,13,24
"7.10.24","Republican",70,4,4,9,12
"7.10.24","18-24",45,5,6,15,30
"7.10.24","25-34",54,5,5,13,22
"7.10.24","35-44",67,4,4,10,14
"7.10.24","45-54",68,4,4,9,14
"7.10.24","55-64",74,4,4,8,11
"7.10.24","65+",74,4,4,8,10
"7.10.24","Female",72,4,4,8,12
"7.10.24","Gender Expansive",78,3,3,7,9
"7.10.24","Male",66,4,4,10,15
"7.10.24","African American",60,5,5,11,19
"7.10.24","Asian",60,5,5,11,19
"7.10.24","Hispanic",70,4,4,9,13
"7.10.24","White",71,4,4,9,12
"7.10.24","College",75,4,4,7,10
"7.10.24","No College",66,4,4,10,15
"7.10.24","Rural",68,4,4,10,14
"7.10.24","Suburban",71,4,4,9,13
"7.10.24","Urban",69,4,4,9,14
"7.10.24","Alabama",68,4,4,10,14
"7.10.24","Alaska",68,4,4,9,14
"7.10.24","Arizona",69,4,4,9,14
"7.10.24","Arkansas",69,4,4,9,13
"7.10.24","California",68,4,4,9,14
"7.10.24","Colorado",70,4,4,9,13
"7.10.24","Connecticut",72,4,4,8,12
"7.10.24","Delaware",71,4,4,9,13
"7.10.24","District of Columbia",69,4,4,9,13
"7.10.24","Florida",70,4,4,9,13
"7.10.24","Georgia",67,4,4,10,15
"7.10.24","Hawaii",70,4,4,9,13
"7.10.24","Idaho",70,4,4,9,13
"7.10.24","Illinois",69,4,4,9,13
"7.10.24","Indiana",69,4,4,9,14
"7.10.24","Iowa",70,4,4,9,13
"7.10.24","Kansas",68,4,4,10,14
"7.10.24","Kentucky",70,4,4,9,13
"7.10.24","Louisiana",67,4,4,10,15
"7.10.24","Maine",72,4,4,8,12
"7.10.24","Maryland",69,4,4,9,13
"7.10.24","Massachusetts",72,4,4,8,12
"7.10.24","Michigan",68,4,4,9,14
"7.10.24","Minnesota",71,4,4,9,12
"7.10.24","Mississippi",69,4,4,9,13
"7.10.24","Missouri",69,4,4,9,13
"7.10.24","Montana",70,4,4,9,13
"7.10.24","Nebraska",70,4,4,9,13
"7.10.24","Nevada",68,4,4,9,14
"7.10.24","New Hampshire",74,4,4,8,11
"7.10.24","New Jersey",70,4,4,9,13
"7.10.24","New Mexico",71,4,4,9,12
"7.10.24","New York",69,4,4,9,13
"7.10.24","North Carolina",68,4,4,9,14
"7.10.24","North Dakota",72,4,4,8,12
"7.10.24","Ohio",70,4,4,9,13
"7.10.24","Oklahoma",70,4,4,9,13
"7.10.24","Oregon",70,4,4,9,13
"7.10.24","Pennsylvania",71,4,4,9,13
"7.10.24","Rhode Island",71,4,4,9,13
"7.10.24","South Carolina",68,4,4,9,14
"7.10.24","South Dakota",73,4,4,8,11
"7.10.24","Tennessee",69,4,4,9,13
"7.10.24","Texas",68,4,4,10,14
"7.10.24","Utah",70,4,4,9,13
"7.10.24","Vermont",73,4,4,8,11
"7.10.24","Virginia",68,4,4,9,14
"7.10.24","Washington",69,4,4,9,14
"7.10.24","West Virginia",70,4,4,9,13
"7.10.24","Wisconsin",73,4,4,8,11
"7.10.24","Wyoming",71,4,4,9,12
"22.10.24","National",74,4,3,6,13
"22.10.24","Democrat",79,3,3,5,10
"22.10.24","Independent",57,5,4,10,24
"22.10.24","Republican",76,4,3,6,11
"22.10.24","18-24",50,5,4,11,29
"22.10.24","25-34",63,5,4,9,19
"22.10.24","35-44",65,5,4,9,18
"22.10.24","45-54",71,4,3,7,14
"22.10.24","55-64",76,4,3,6,11
"22.10.24","65+",83,3,2,5,8
"22.10.24","Female",76,4,3,6,11
"22.10.24","Gender Expansive",95,1,1,1,2
"22.10.24","Male",71,4,3,7,14
"22.10.24","African American",65,5,4,8,18
"22.10.24","Asian",66,4,4,8,18
"22.10.24","Hispanic",77,3,3,6,11
"22.10.24","White",76,4,3,6,12
"22.10.24","College",76,4,3,6,11
"22.10.24","No College",73,4,3,7,14
"22.10.24","Rural",75,4,3,6,12
"22.10.24","Suburban",75,4,3,6,12
"22.10.24","Urban",72,4,3,7,14
"22.10.24","Alabama",74,4,3,7,13
"22.10.24","Alaska",75,4,3,6,12
"22.10.24","Arizona",74,4,3,7,13
"22.10.24","Arkansas",75,4,3,6,12
"22.10.24","California",73,4,3,7,13
"22.10.24","Colorado",73,4,3,7,13
"22.10.24","Connecticut",76,4,3,6,12
"22.10.24","Delaware",76,4,3,6,12
"22.10.24","District of Columbia",72,4,3,7,14
"22.10.24","Florida",75,4,3,6,12
"22.10.24","Georgia",72,4,3,7,14
"22.10.24","Hawaii",77,3,3,6,11
"22.10.24","Idaho",75,4,3,6,12
"22.10.24","Illinois",74,4,3,7,13
"22.10.24","Indiana",74,4,3,6,13
"22.10.24","Iowa",75,4,3,6,12
"22.10.24","Kansas",73,4,3,7,13
"22.10.24","Kentucky",75,4,3,6,12
"22.10.24","Louisiana",72,4,3,7,14
"22.10.24","Maine",78,3,3,6,11
"22.10.24","Maryland",73,4,3,7,13
"22.10.24","Massachusetts",76,4,3,6,12
"22.10.24","Michigan",73,4,3,7,13
"22.10.24","Minnesota",76,4,3,6,12
"22.10.24","Mississippi",76,4,3,6,11
"22.10.24","Missouri",74,4,3,7,13
"22.10.24","Montana",75,4,3,6,12
"22.10.24","Nebraska",75,4,3,6,12
"22.10.24","Nevada",73,4,3,7,13
"22.10.24","New Hampshire",79,3,3,5,10
"22.10.24","New Jersey",73,4,3,7,13
"22.10.24","New Mexico",77,3,3,6,11
"22.10.24","New York",73,4,3,7,13
"22.10.24","North Carolina",73,4,3,7,13
"22.10.24","North Dakota",78,3,3,6,11
"22.10.24","Ohio",75,4,3,6,12
"22.10.24","Oklahoma",76,4,3,6,12
"22.10.24","Oregon",75,4,3,6,12
"22.10.24","Pennsylvania",75,4,3,6,12
"22.10.24","Rhode Island",74,4,3,6,13
"22.10.24","South Carolina",74,4,3,7,13
"22.10.24","South Dakota",78,3,3,6,10
"22.10.24","Tennessee",75,4,3,6,12
"22.10.24","Texas",73,4,3,7,14
"22.10.24","Utah",75,4,3,6,12
"22.10.24","Vermont",78,3,3,5,10
"22.10.24","Virginia",73,4,3,7,13
"22.10.24","Washington",73,4,3,7,13
"22.10.24","West Virginia",76,4,3,6,12
"22.10.24","Wisconsin",78,3,3,6,10
"22.10.24","Wyoming",78,3,3,6,10
