"Date","Demographic.Level","Somewhat.favorable","Somewhat.unfavorable","Very.favorable","Very.unfavorable"
"27.8.24","North Dakota",17,9,30,44
"27.8.24","Ohio",20,10,30,40
"27.8.24","Oklahoma",20,10,31,40
"27.8.24","Oregon",23,11,32,34
"27.8.24","Pennsylvania",22,10,31,37
"27.8.24","Rhode Island",24,11,32,33
"27.8.24","South Carolina",22,10,30,38
"27.8.24","South Dakota",17,9,30,44
"27.8.24","Tennessee",20,9,30,41
"27.8.24","Texas",23,10,31,36
"27.8.24","Utah",17,9,30,44
"27.8.24","Vermont",23,11,32,34
"27.8.24","Virginia",23,10,30,37
"27.8.24","Washington",24,11,31,34
"27.8.24","West Virginia",20,10,31,39
"27.8.24","Wisconsin",19,9,31,41
"27.8.24","Wyoming",14,8,29,49
"11.9.24","National",22,13,31,34
"11.9.24","Democrat",35,17,31,16
"11.9.24","Independent",27,16,35,22
"11.9.24","Republican",7,6,28,59
"11.9.24","18-24",45,16,25,14
"11.9.24","25-34",35,16,29,20
"11.9.24","35-44",27,15,31,27
"11.9.24","45-54",26,14,31,29
"11.9.24","55-64",18,12,31,39
"11.9.24","65+",16,11,31,41
"11.9.24","Female",23,13,31,32
"11.9.24","Gender Expansive",45,17,25,13
"11.9.24","Male",22,12,31,35
"11.9.24","African American",34,16,29,20
"11.9.24","Asian",38,16,28,19
"11.9.24","Hispanic",27,15,32,26
"11.9.24","White",18,12,31,39
"11.9.24","College",21,13,31,35
"11.9.24","No College",23,13,31,33
"11.9.24","Rural",14,10,30,45
"11.9.24","Suburban",23,13,31,33
"11.9.24","Urban",31,16,31,23
"11.9.24","Alabama",19,11,30,41
"11.9.24","Alaska",18,12,32,38
"11.9.24","Arizona",21,13,31,35
"11.9.24","Arkansas",18,11,30,40
"11.9.24","California",26,14,31,29
"11.9.24","Colorado",22,13,31,34
"11.9.24","Connecticut",24,14,31,31
"11.9.24","Delaware",23,13,32,32
"11.9.24","District of Columbia",33,17,31,20
"11.9.24","Florida",23,13,31,33
"11.9.24","Georgia",23,13,30,34
"11.9.24","Hawaii",25,14,32,29
"11.9.24","Idaho",18,11,31,40
"11.9.24","Illinois",25,14,31,31
"11.9.24","Indiana",20,12,31,37
"11.9.24","Iowa",19,12,31,37
"11.9.24","Kansas",19,12,31,38
"11.9.24","Kentucky",19,12,31,38
"11.9.24","Louisiana",22,13,31,35
"11.9.24","Maine",18,12,32,38
"11.9.24","Maryland",26,14,30,29
"11.9.24","Massachusetts",25,14,32,29
"11.9.24","Michigan",24,13,31,33
"11.9.24","Minnesota",21,12,31,36
"11.9.24","Mississippi",17,11,30,41
"11.9.24","Missouri",21,12,30,36
"11.9.24","Montana",16,11,31,42
"11.9.24","Nebraska",19,12,31,39
"11.9.24","Nevada",23,13,31,32
"11.9.24","New Hampshire",18,12,32,38
"11.9.24","New Jersey",26,14,31,29
"11.9.24","New Mexico",21,13,32,35
"11.9.24","New York",26,14,31,29
"11.9.24","North Carolina",21,12,31,35
"11.9.24","North Dakota",16,11,31,43
"11.9.24","Ohio",20,12,31,38
"11.9.24","Oklahoma",18,12,31,39
"11.9.24","Oregon",22,13,31,33
"11.9.24","Pennsylvania",21,13,31,35
"11.9.24","Rhode Island",24,14,32,30
"11.9.24","South Carolina",20,12,31,37
"11.9.24","South Dakota",15,10,31,44
"11.9.24","Tennessee",19,11,30,40
"11.9.24","Texas",23,13,30,34
"11.9.24","Utah",17,11,31,41
"11.9.24","Vermont",20,13,32,35
"11.9.24","Virginia",22,12,30,36
"11.9.24","Washington",24,13,31,32
"11.9.24","West Virginia",18,12,31,39
"11.9.24","Wisconsin",18,12,31,39
"11.9.24","Wyoming",13,10,30,48
"23.9.24","National",22,12,30,37
"23.9.24","Democrat",36,17,30,17
"23.9.24","Independent",19,13,35,32
"23.9.24","Republican",6,6,26,61
"23.9.24","18-24",45,15,25,15
"23.9.24","25-34",35,15,28,22
"23.9.24","35-44",31,15,29,25
"23.9.24","45-54",21,13,31,36
"23.9.24","55-64",19,12,30,40
"23.9.24","65+",15,10,29,46
"23.9.24","Female",24,13,30,34
"23.9.24","Gender Expansive",49,16,23,12
"23.9.24","Male",20,12,29,39
"23.9.24","African American",34,15,28,22
"23.9.24","Asian",32,15,29,25
"23.9.24","Hispanic",28,14,30,28
"23.9.24","White",18,11,30,42
"23.9.24","College",21,12,29,38
"23.9.24","No College",22,12,30,36
"23.9.24","Rural",15,10,29,47
"23.9.24","Suburban",21,12,30,37
"23.9.24","Urban",30,15,29,25
"23.9.24","Alabama",19,11,28,42
"23.9.24","Alaska",17,11,30,42
"23.9.24","Arizona",20,12,30,38
"23.9.24","Arkansas",18,11,29,43
"23.9.24","California",25,13,30,32
"23.9.24","Colorado",22,12,30,37
"23.9.24","Connecticut",23,13,30,34
"23.9.24","Delaware",23,13,30,34
"23.9.24","District of Columbia",32,16,30,22
"23.9.24","Florida",22,12,30,36
"23.9.24","Georgia",22,12,29,37
"23.9.24","Hawaii",22,13,31,34
"23.9.24","Idaho",17,11,29,43
"23.9.24","Illinois",24,13,29,34
"23.9.24","Indiana",19,11,29,40
"23.9.24","Iowa",19,12,30,40
"23.9.24","Kansas",18,11,30,41
"23.9.24","Kentucky",19,11,30,40
"23.9.24","Louisiana",22,12,29,37
"23.9.24","Maine",18,12,30,40
"23.9.24","Maryland",26,13,29,31
"23.9.24","Massachusetts",24,13,30,32
"23.9.24","Michigan",23,13,29,35
"23.9.24","Minnesota",20,12,29,39
"23.9.24","Mississippi",17,11,29,43
"23.9.24","Missouri",21,12,29,39
"23.9.24","Montana",16,10,29,45
"23.9.24","Nebraska",18,11,29,42
"23.9.24","Nevada",22,12,30,35
"23.9.24","New Hampshire",17,11,31,41
"23.9.24","New Jersey",25,13,30,32
"23.9.24","New Mexico",21,12,30,36
"23.9.24","New York",26,13,30,31
"23.9.24","North Carolina",21,12,30,38
"23.9.24","North Dakota",15,10,29,46
"23.9.24","Ohio",19,11,29,41
"23.9.24","Oklahoma",18,11,30,41
"23.9.24","Oregon",22,12,30,36
"23.9.24","Pennsylvania",21,12,29,38
"23.9.24","Rhode Island",23,13,31,34
"23.9.24","South Carolina",20,12,29,39
"23.9.24","South Dakota",15,10,29,45
"23.9.24","Tennessee",19,11,28,42
"23.9.24","Texas",22,12,29,37
"23.9.24","Utah",16,10,29,44
"23.9.24","Vermont",21,13,31,36
"23.9.24","Virginia",21,12,29,38
"23.9.24","Washington",22,13,30,35
"23.9.24","West Virginia",18,11,30,41
"23.9.24","Wisconsin",18,11,29,42
"23.9.24","Wyoming",12,9,28,50
"7.10.24","National",24,12,30,34
"7.10.24","Democrat",38,16,30,15
"7.10.24","Independent",27,15,35,23
"7.10.24","Republican",7,6,27,61
"7.10.24","18-24",39,14,27,19
"7.10.24","25-34",39,14,27,19
"7.10.24","35-44",33,14,29,24
"7.10.24","45-54",23,12,31,34
"7.10.24","55-64",19,11,30,40
"7.10.24","65+",18,11,31,41
"7.10.24","Female",25,12,30,32
"7.10.24","Gender Expansive",47,15,25,13
"7.10.24","Male",23,11,30,36
"7.10.24","African American",36,14,28,21
"7.10.24","Asian",34,14,29,24
"7.10.24","Hispanic",24,13,32,32
"7.10.24","White",21,11,30,38
"7.10.24","College",22,11,30,37
"7.10.24","No College",25,12,30,33
"7.10.24","Rural",18,10,30,42
"7.10.24","Suburban",23,12,30,35
"7.10.24","Urban",32,14,30,24
"7.10.24","Alabama",21,11,29,39
"7.10.24","Alaska",21,11,31,37
"7.10.24","Arizona",22,11,30,36
"7.10.24","Arkansas",20,11,30,39
"7.10.24","California",26,13,30,31
"7.10.24","Colorado",24,12,30,35
"7.10.24","Connecticut",25,12,30,32
"7.10.24","Delaware",26,13,31,31
"7.10.24","District of Columbia",35,15,30,20
"7.10.24","Florida",23,12,30,35
"7.10.24","Georgia",25,12,29,35
"7.10.24","Hawaii",25,13,31,31
"7.10.24","Idaho",20,10,30,40
"7.10.24","Illinois",26,12,30,32
"7.10.24","Indiana",22,11,30,37
"7.10.24","Iowa",22,12,30,36
"7.10.24","Kansas",21,11,30,38
"7.10.24","Kentucky",22,11,30,36
"7.10.24","Louisiana",24,12,30,34
"7.10.24","Maine",23,12,31,35
"7.10.24","Maryland",28,13,30,29
"7.10.24","Massachusetts",27,13,30,30
"7.10.24","Michigan",26,12,30,32
"7.10.24","Minnesota",23,12,30,35
"7.10.24","Mississippi",20,11,30,40
"7.10.24","Missouri",23,11,30,36
"7.10.24","Montana",19,10,30,41
"7.10.24","Nebraska",21,11,30,39
"7.10.24","Nevada",24,12,30,34
"7.10.24","New Hampshire",21,12,31,36
"7.10.24","New Jersey",27,13,30,31
"7.10.24","New Mexico",22,12,31,35
"7.10.24","New York",28,13,30,29
"7.10.24","North Carolina",24,12,30,35
"7.10.24","North Dakota",18,10,30,42
"7.10.24","Ohio",22,11,30,37
"7.10.24","Oklahoma",21,11,30,38
"7.10.24","Oregon",25,12,30,32
"7.10.24","Pennsylvania",24,12,30,35
"7.10.24","Rhode Island",26,13,31,31
"7.10.24","South Carolina",23,11,30,36
"7.10.24","South Dakota",18,10,30,42
"7.10.24","Tennessee",21,11,29,39
"7.10.24","Texas",23,12,30,35
"7.10.24","Utah",18,10,30,42
"7.10.24","Vermont",25,13,31,32
"7.10.24","Virginia",23,11,29,36
"7.10.24","Washington",25,12,30,32
"7.10.24","West Virginia",21,11,30,37
"7.10.24","Wisconsin",21,11,30,38
"7.10.24","Wyoming",15,9,29,46
"22.10.24","National",23,13,28,36
"22.10.24","Democrat",37,18,29,17
"22.10.24","Independent",23,15,34,28
"22.10.24","Republican",6,6,25,63
"22.10.24","18-24",38,16,26,20
"22.10.24","25-34",34,16,27,23
"22.10.24","35-44",31,15,28,26
"22.10.24","45-54",25,14,29,32
"22.10.24","55-64",17,12,28,43
"22.10.24","65+",16,11,28,45
"22.10.24","Female",25,14,28,33
"22.10.24","Gender Expansive",38,17,27,18
"22.10.24","Male",20,12,28,40
"22.10.24","African American",34,16,27,23
"22.10.24","Asian",33,15,27,25
"22.10.24","Hispanic",26,14,29,31
"22.10.24","White",19,12,28,41
"22.10.24","College",22,13,28,38
"22.10.24","No College",23,13,28,36
"22.10.24","Rural",15,10,27,47
"22.10.24","Suburban",22,13,29,37
"22.10.24","Urban",32,16,28,25
"22.10.24","Alabama",19,11,27,43
"22.10.24","Alaska",18,12,29,41
"22.10.24","Arizona",21,13,28,38
"22.10.24","Arkansas",18,11,27,43
"22.10.24","California",25,14,29,32
"22.10.24","Colorado",23,13,28,37
"22.10.24","Connecticut",24,13,29,34
"22.10.24","Delaware",24,14,29,34
"22.10.24","District of Columbia",34,17,29,21
"22.10.24","Florida",22,13,28,36
"22.10.24","Georgia",23,13,27,37
"22.10.24","Hawaii",23,14,29,34
"22.10.24","Idaho",18,11,28,43
"22.10.24","Illinois",25,13,28,34
"22.10.24","Indiana",20,12,28,40
"22.10.24","Iowa",20,12,28,39
"22.10.24","Kansas",19,12,28,41
"22.10.24","Kentucky",20,12,28,39
"22.10.24","Louisiana",22,13,28,37
"22.10.24","Maine",20,12,29,39
"22.10.24","Maryland",27,14,28,31
"22.10.24","Massachusetts",25,14,29,32
"22.10.24","Michigan",24,13,28,35
"22.10.24","Minnesota",22,12,28,38
"22.10.24","Mississippi",18,11,27,43
"22.10.24","Missouri",22,12,27,38
"22.10.24","Montana",17,11,28,45
"22.10.24","Nebraska",19,12,28,41
"22.10.24","Nevada",23,13,28,35
"22.10.24","New Hampshire",19,12,29,40
"22.10.24","New Jersey",26,14,28,32
"22.10.24","New Mexico",21,13,29,37
"22.10.24","New York",27,14,28,31
"22.10.24","North Carolina",22,13,28,38
"22.10.24","North Dakota",16,11,27,45
"22.10.24","Ohio",20,12,28,40
"22.10.24","Oklahoma",19,12,28,41
"22.10.24","Oregon",23,13,28,35
"22.10.24","Pennsylvania",22,13,28,37
"22.10.24","Rhode Island",24,14,29,33
"22.10.24","South Carolina",21,12,28,39
"22.10.24","South Dakota",16,11,28,45
"22.10.24","Tennessee",19,11,27,42
"22.10.24","Texas",22,13,28,37
"22.10.24","Utah",17,11,28,44
"22.10.24","Vermont",22,13,29,36
"22.10.24","Virginia",22,12,27,38
"22.10.24","Washington",24,13,28,35
"22.10.24","West Virginia",19,12,28,41
"22.10.24","Wisconsin",19,12,28,41
"22.10.24","Wyoming",13,10,27,50
